View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
1958,MacLeod-Reckord PLLC,MacLeod Reckord,Connie Reckord,,110 PREFONTAINE PL S STE 600,SEATTLE,WA,98104-2626,"MacLeod Reckord PLLC is a recognized Northwest design firm, established in 1968, reorganized in 1982, and now wholly owned by Connie Reckord under the present name. The firm specializes in public park and recreation design. Current staff is comprised of individuals with diverse backgrounds and a common interest in the provision of quality landscape architectural services. MacLeod Reckord has an extensive background covering a wide range of landscape architecture and land planning experience. Specific capabilities include park and open space master planning and design, transportation and trail corridor design, site planning and urban design. All aspects of sound project evolution, from intuitive design and planning reflexes to production of construction documents and administration of design implementation, are carried out with a thoroughness and skill evidenced by the quality and success of past projects."
1959,"Haley, Pamela",Rainbow Connection Daycare,Pamela  Haley,,621 W Sprague,Spokane,WA,99201-3810,
1960,Northwest Abatement Services Inc,STETZ CONSTRUCTION,MARK  STEPHENS,,9822 32nd AVE CT S,LAKEWOOD,WA,98499-9262,"ASBESTOS, LEAD AND MOLD REMEDIATION INDOOR AIR QUALITY & DUCT CLEANING NEW CONSTRUCTION AND REMODELING WATER MITIAGATION"
1961,"Sealaska Environmental Services, LLC",,Terrence Heikkila,,3200 George Washington Way Ste D,Richland,WA,99354-1664,"Environmental, remediation, consulting, engineering, project managment, construction, demolition, SATOC, EMAC, 8A, O&M, Monitoring, Waste identification, management,and disposal, Permitting, LTM, operations, maintenance, radiological waste"
1962,"GANOSON, INC",HOODZ OF THE GREATER SOUTH SOUND,Lynda A Gardner,,7414 86TH AVE NW,GIG HARBOR,WA,98335-6289,"Hoodz offers complete kitchen hood and exhaust cleaning services. Including: roof-top grease containment systems, fan and duct access panels, fan hinge kits installation and maintenance. Kitchen equipment cleaning and pressure washing of hard services."
1963,"Per Agilis, LLC",,Christopher T Alexander,,1058 S Director St,Seattle,WA,98108-4701,"We specialize in assisting organizations in optimizing process, workflows, and teamwork through complexity studies, empirical analysis, and team and individual coaching and training, from new hires to executive levels. Our core product, Mission Focus(TM), is a fractal process based on complexity science and systems thinking which is capable of aligning effort throughout an organization while focusing each department, division, or team not only on their work, but how their work enables the organization as a whole to execute effectively."
1964,Seattle Signshop LLC,Seattle Signshop,Petr Artemov,,8009 7th ave S suite 14,Seattle,WA,98108-4365,"Performing projects under $300,000 in the following areas: - Vinyl lettering/wraping for vehicles, boats, windows - HDU, wooden routed signs - ADA compiant signage, - vinyl banners, mesh banners for construction etc (production and installation) - Dimensional letters (productions and installation) - Car magnets - Laser ingraving on varioius materials - Electrical signage; electrical signs cabinets"
1965,A J G B INTERNATIONAL INC,AJGB ENVIRONMENTAL ENGINEERING SPECIALISTS,ALEJANDRO  J GONZALEZ,President,111 162ND AVE SE,BELLEVUE,WA,98008-4629,"Remedial Investigation, Feasibility Studies at contaminated sites. Wastewater engineering. Solid and hazardous waste management.Water resources services including flood control, water supply, hydropower studies, Renewable energy. watershed management."
1966,"White Rabbit Ventures, Inc.",Matrix Roofing,Wendy Marvin,,6000 Ne 88th St D102,Vancouver,WA,98665-0982,"13+yr Award-winning Women-Owned business, expertise in Commercial Roofing and Complex Project Management. Exceptional industry reputation. Complete on time and on budget. Experience working with Primes. Prevailing wage contractor. Quick turn-around on response and documentation."
1967,"Orbiter, Inc ",,Greg Stewart,,13500 Pacific Ave S,Tacoma,WA,98444-4742,Timing machine is patented and is set up in 3 minutes versus an hour. Our wrist bands are patented and have 3X more response. Motorola OEM manufacture of race timing and lap counting software and hardware. RFID tags and chip
1968,"Western Ventures Construction, Inc.",,Shannon McPhee,,24306 58th Pl W,Mountlake Terrace,WA,98043-5410,
1969,"McCormack, Shawny",,Shawny McCormack,,5031 W Clearwater Ave Apt 60,Kennewick,WA,99336-4919,Typing at 100+ wpm.
1970,Patano Studio Architecture L.L.C.,,Courtney Wise,,603 STEWART ST STE 500,SEATTLE,WA,98101-1243,"Patano Studio is an architecture and urbanism collaborative based in Seattle, WA. We deliver complex projects with unusual parameters across varying scales. We strive to design low energy use, high-performance buildings that feature locally sourced materials."
1971,JOZYGEE LLC,,ADEOTI  T ADEDIRAN,,5280 MONICA ST,WEST RICHLAND,WA,99353-6086,Electrical Engineering main emphasis power systems
1972,"EHS-International, Inc.",ESHI,Lawrence J Toimil,Principal in Charge,1011 SW Klickitat Way Ste 104,Seattle,WA,98134-1136,"Asbestos, LBP, PCB, Radon, Lead, Indoor Air Quality, Abatement Design, Hazardous Materials, OSHA/WISHA Compliance, Industrial Hygiene, Mold Surveys, Environmental Assessment, Remediation, UST Closure, NEPA/SEPA, Cultural Resources, HTRW Projects"
1973,SKILLTRAN LLC,SKILLTRAN,JEFFREY A TRUTHAN,,3910 S UNION CT,SPOKANE,WA,99206-6345,"Design, develop and deliver comprehensive, user-friendly solutions to occupational and labor market data for use by the public and vocational guidance professionals."
1974,N.C.S. CORPORATION ,,THOMAS WILLEMIN,,11110 25th Ave E Ste A,Tacoma,WA,98445-5338,"Installation of control systems for HVAC systems. BacNet, LON, and DDC systems integration using ASI Controls, Siemens Controls, Tridium, and Wonderware"
1975,AIRMARK CORPORATION,AirMark,DREW  GROSHONG,Sales Manager,10001 Lake City Way NE,Seattle,WA,98125-7733,"We offer computerized sign making equipment. thermal transfer printers for long term durability outdoors and vinyl cutting plotters to create decals for signs and highway, automotive, aviation stencils."
1976,RMC Incorporated,RMC Powder Coating,Roger Clarke,,7951 2nd Ave S,Seattle,WA,98108-4204,"RMC,Inc. provides quality powder coating, sandblasting, and metal finishing service and a comprehensive warranty. RMC Powder coating is a commercial-only coatings facility bringing 30 years of professionalism to northwest region manufacturers, by combining experience with cutting edge equipment and materials. Reduce your powder coating cost and increase your finish quality. RMC Marine Finish offers high capacity water and corrosion proofing for high demand applications. RMC Powder Coating has an in-depth knowledge of coating requirements for electrical applications. In addition to our expertise in handling transformers, cabinets, signal boxes and more, we inventory certified electrical colors. Architects and manufacturers prefer RMC Team's professionalism and expertise for 30 Years of Trust, Reliability, and Value."
1977,"ATS Inland NW, LLC",,William A Kissinger,Managing Partner,9507 E SPRAGUE AVE,SPOKANE,WA,99206-3616,"Controls,building automation and energy management system for hvac systems"
1978,Foster Consulting Services LLC,FCS,CHARLES C Foster,Owner,3908 80th Ave W,Tacoma,WA,98466-3234,"Capable of providing scientific and technical consulting services to university, government, corporate and individuals in nuclear, accelerator and radiation effects physics and of providing computer simulations."
1979,"Construx Software Builders, Inc.",,Mark Nygren,,10900 NE 8TH ST STE 1300,BELLEVUE,WA,98004-4449,"-leading support for software development best practices. Construx has helped hundreds of companies improve their software effectiveness through public and private software development seminars, consulting, and resources & tools."
1980,HEATHMAN LODGE,,Jennifer Clements,,7801 NE GREENWOOD DR,VANCOUVER,WA,98662-7900,"The natural wonder of the Pacific Northwest meets a culture of unique, personalized service at The Heathman Lodge, a rustic hotel in Vancouver, WA. Twenty signature suites; 182 distinctive guestrooms; 10,000+ square feet of flexible meeting space; Hudson’s Bar & Grill — all put together in a beautifully hand-crafted Northwest mountain lodge setting. Relax, revel, and rejuvenate at one of the most scenic hotels in Vancouver, Washington. Welcome to The Heathman Lodge."
1981,"Active Construction, Inc.",,Ryan Heathers,,5110 River Rd E,Tacoma,WA,98443-2638,"Active Construction Inc has been a contractor for over forty years specializing in underground utilities, site preparation and road construction. Staffing submittal and customer references illustrate that we not only offer a highly qualified veteran team to your project but that we pride ourselves in the philosophy of Total Customer Satisfaction. Our record of on time completion illustrates this as well and we have never been to court on a construction matter in our forty-plus years."
1982,ELKCO DIAMOND PRODUCTS COMPANY,,GAYLE  N. Brown,OWNER,15018 SE 47TH ST,BELLEVUE,WA,98006-3205,"We locate for you the highest quality U.S. made products at the very best price. It is an honor for us to do business with the Department of Defense, with total honesty and integrity."
1983,PEN ENT INC,,JOSEPH  PENARANDA,,61 SHATTUCK AVE S,RENTON,WA,98057-5314,"Formed in 1989, Pen-Ent Inc. utilizes three different facilities located in Washington. Our design and manufacturing engineering professionals work with customers to evaluate and improve the durability, efficiency, and cost of their products. The Pent-Ent production centers enable us to provide the highest quality of products with cost competitive pricing."
1984,"Ives Training & Compliance Group, Inc.",,ROB  VETTER,Information Technology,8420 Portal Way Unit H3,Blaine,WA,98230-9839,"Ives Training is an organization with resources on safety, training, products, publications, news and more. We specialize in providing instructor and operator certification programs for Lift Trucks and other pieces of mobile equipment."
1985,Sister Sky Enterprises Inc,Sister Sky,Marina Turningrobe,,55 East Lincoln Road Suite 102,SPOKANE,WA,99208-5647,"Delivering empowerment and enrichment services to disadvantaged communities through culturally-conscious training, technical assistance, research and evaluation, event management and communications. We recognize sensitivity as crucial in fostering improvements in health, education, safety and self-determination. Experienced in our primary services, along with expertise in project management, financial management, and implementation, program development, strategic growth planning, technical communications, marketing, and branding. Training: Using formative research protocol and tools, we provide surveys, focus groups, needs assessments, and other information gathering processes to determine requirements for participant and stakeholder success. With culturally appropriate guidance, we build didactic and experiential learning management systems including curriculum design, pilot testing, delivery and assessment. Training offered via onsite, virtual, web-based or product dissemination."
1986,"Newton Building & Development, LLC",NBD,ROGER Newton,President,1120 Pearl St,Bremerton,WA,98310-2838,"General contractor specializing in commercial and industrial construction, asbestos and lead abatement, and environmental remediation. Also performs tenant improvements, demolition, stucco, plaster and site work."
1987,Wildrose Ltd ,Wild Rose Graphics ,Sean Runnels,,134 N Madelia St,Spokane,WA,99202-3020,"Promotional products and apparel company focusing on custom apparel, embroidery, awards, and ad-specialty items. Specializing orders small and large. Have provided as many as 50,000 custom shirts per event or campaign."
1988,CIRCINATUM FORESTRY LLC,,Austin Werts,,310 GARDNER RD,BURLINGTON,WA,98233-1531,"Circinatum Forestry collects high quality data on forestry surveys of all types. Data collection includes Forest Inventory and Analysis plots in multiple forest service research stations including the Pacific Northwest Research station. Forest research, data collection, and surveys can be completed all across the United States. Business owners specialize in botany with a botanist on staff."
1989,"Lincoln Industrial Corporation, Inc.",Lincoln Welding,Wilmer Possinger,President/Owner,4130 Tumwater Truck Rte,Port Angeles,WA,98363-2471,Welding/Fabrication Shop. Dockside Ship Repair. Crane Service. Mill Shutdown/Repair.
1990,Veterans Northwest Construction LLC ,,DAVID E NISHIMURA,,2926 6TH AVE S,SEATTLE,WA,98134-2104,"SDVOSB specializing in general construction, commercial and institutional building construction, design-build, demo, electrical, foundations, structures, plumbing, heating, site preparation, renovations and other specialty capabilities."
1991,"Contract Resource Group, Inc.",,Don Isaacs,,715 E SPRAGUE AVE STE 40,SPOKANE,WA,99202-2142,"Office furniture sales, installation, layout. Accessories for office. Station walls."
1992,Cylient LLC,,Dianna Anderson,,600 1st Ave Ste 623,Seattle,WA,98104-2231,"At Cylient, our sole focus is creating coaching cultures, helping you turn complex change unto a competitive advantage.  Our in-person workshops and eLearning programs are just the beginning of our complete learning network. We offer a comprehensive system for instilling coaching-based leadership in any organization, in any location, at all levels of the organization.  Our exclusive workshop, featuring our Untying the Knot® approach to coaching, has been used to embed coaching-based leadership at every level of the organization for thousands of people, worldwide."
1993,"GMJ TECHNOLOGIES, INC.",,Oluwatosin Dada,,4820 148TH PL SE,EVERETT,WA,98208-8812,
1994,"Norse Sound Creative, LLC",,David Janklow,,16107 Ascension Way,Mount Vernon,WA,98273-8645,"Norse Sound Creative, LLC is a full service digital marketing agency. Specializing in website design, website maintenance, mobile application development, graphic design and online marketing for small, midsize and large businesses and organizations throughout the United States."
1995,"Bob Otto Consulting, LLC",,Robert P Otto,,380 7th Ave,Fox Island,WA,98333-9744,"Excellent team leader and collaborator, experienced as a fiduciary and advisory board member on publicly traded companies. Intelligence and cyber security expert with a proven record of success harnessing big picture strategic thinking and logistical planning to devise and execute cost-effective, cutting-edge initiatives that achieve overarching goals."
1996,LIFELINE AMBULANCE INC,,WAYNE  WALKER,General Manager,230 GRANT RD,EAST WENATCHEE,WA,98802-5383,Provide ALS and BLS standby coverage at events
1997,"WHH Nisqually Federal Services, LLC",Nisqually Construction Services,Jon Kirk,,12820 YELM HWY SE STE H,Olympia,WA,98513-6703,"General contractor and construction manager performing design-build construction projects primarily for federal agencies in the Pacific Northwest. Expertise in civil construction, utilities, structures, quality control and inspection services."
1998,Data2Insight LLC,data2insight,Veronica  S. Smith,,1617 Boylston Ave,SEATTLE,WA,98122-6729,"Data2insight specializes in the systematic practices of capturing, curating, analyzing, synthesizing data and effectively communicating the insights to people in support of increased understanding, discovery, and problem solving. We guide people within organizations to systematically measure social, environmental, education, and health impacts. Our team has experience working with social sector, social start-up, small and mid-size companies, government, and non-government organizations with goals that focus on more than profit and loss. Our past and present clients include Big Brothers Big Sisters, Washington Global Health Alliance, Zeno Math, The Nature Conservancy, University of Washington, UCLA, Howard University, Brandeis University, University of Texas, Austin, Lawrence Berkeley National Laboratories, Urban League of Metropolitan Seattle, and YMCA Powerful Schools."
1999,"Air Tech Abatement Technologies, Inc.",,Michelle A Ginter,,55 E LINCOLN RD STE 106,SPOKANE,WA,99208-5647,"We are a service disabled veteran owned business Specializing in Asbestos, lead, mold removal and selective demolition"
2000,HMS Management LLC,Liberty Inn,Chalon  Burns,,1400 Wilmington Dr,Dupont,WA,98327-8770,HMS management LLC is a Korean family owned business. The business was started in 2014 when Best Western Liberty Inn was purchased. Best Western Liberty Inn is located right next to the Joint Base Lewis - McChord (JBLM) Our goal is to contribute to our small community and military base by providing jobs and top quality accommodations.
2001,"Claggion, Kamaru",Clagg's Private Investigative Agency,Kamaru R Claggion,,2617 JUDD STREET SE,LACEY,WA,98503-3694,"My agency provides background investigations, criminal investigations, fraud investigations cyber investigations, and private security."
2002,"M & L SUPPLY CO., INC.",,MARK D MAXWELL,PRESIDENT,4114 E FERRY AVE,SPOKANE,WA,99202-4648,"PLUMBING, HEATING, INDUSTRIAL, MECHANICAL SUPPLIES AND TOOLS."
2003,"Oatridge Security Group, Inc.",,CY OATRIDGE,,2111 S 90TH ST,TACOMA,WA,98444-1822,"Full-service physical security provider delivering armed, unarmed, uniformed & plain-clothed security professionals. In addition we provide and install intrusion detection systems, access control systems, fire alarms, mass notification & CCTV systems."
2004,"Kaul Civil Engineering, LLC",,Brian D Kaul,,32808 4th Ave SW,Federal Way,WA,98023-5614,"Value Engineering, Cost/Benefit Analysis of Design Alternates, Construction/Development Cost Estimates, EIS Scoping Summary & Reports, SEPA, Master Planning, Infrastructure Design, Grading Design & Earthwork Analysis, Public/Private Roadway Design, Water System Design, Sanitary Sewer System Design, Stormwater System Design, Retention/Detention & Water Quality Control Facility Design, Hydrology Reports, Basin Studies, & Hydraulic Computations, TESC Plans & Reports, SWPPP Plan Preparation, Street lighting Design, Dry Utility Design, Construction Applications & Permit Approval Assistance"
2005,Vector Engineering Inc.,,Ryan Moore,Office Manager,2724 BLACK LAKE BLVD SW APT 202,TUMWATER,WA,98512-5105,"Civil Engineering: site development, transportation, stormwater, erosion control Structural: building, bridges, foundations, retaining walls, docks/piers, seismic vulnerability. Construction: design-build, temporary works, contract admin. Forensic Insp."
2006,Learning to LEAD LLC,,Kaitlyn Daniel,,807 S Cushman Ave,Tacoma,WA,98405-3628,"Learning to LEAD LLC provides leader development and resilience training to small and large groups to improve performance, productivity, team dynamics, well-being, adaptability and resilience."
2007,Power Technology Inc.,,LEIF Hasselblad,,1602 Guild Rd,Woodland,WA,98674-9511,"PTI provides complete high/low voltage transmission line, substation, distribution system installation with wholesale/retail supply of electrical materials to utilities, commericial and residential customers including city street lights."
2008,LYNCH JANITORIAL AND CLEANING,,Leslie Lynch,,36415 NE ELLIOTT RD,YACOLT,WA,98675-4914,"LYNCH Janitorial and Cleaning,LLC provides high quality, detail oriented commercial janitorial services including window washing and carpet cleaning. LYNCH Janitorial has 'green cleaning' service programs available."
2009,"TROY COMPANY, INC.",,GERALD GRAY Gerald Gray,GENERAL MANAGER,603 STEWART ST STE 616,SEATTLE,WA,98101-1263,Bulk Petroleum Distributor Biodiesel manufacturer/processor
2010,"Innovative Electric, Inc.",,Donna Petzold,,10117 Montana Rd,Everett,WA,98204-3719,"electrical, construction, automation controls"
2011,Buffalo Design Inc,Buffalo Design,Chris Carlson,,1520 4TH AVE STE 400,SEATTLE,WA,98101-3610,"Buffalo Design is a diverse team of architects, interior designers, programmers and planners working together to provide creative, appropriate planning and design solutions. For over thirty years we have successfully worked with governments, universities, healthcare providers, corporations and communities to create innovative, functional and flexible facilities. We offer the highest level of professional service, demonstrated through the personal commitment of principals and senior staff members to each commission. Our attitude toward the work we do – putting our clients’ needs first, being committed to their success and creating exceptional environments – sets us apart. Our strong record of returning clients, calling us back to take on new challenges, is an indicator of our success. Buffalo Design maintains a strong record for delivering projects of all sizes on time and within budget."
2012,SECURE A SITE INC. ,,Margaret M Krah,,5931 238TH ST SE # 1B,WOODINVILLE,WA,98072-8603,"Fence Construction-Commercial, Residential and Temporary Fencing. Site Security-Cellular Wireless Alarm Systems, Exterior Cleaning-Pressure washing-Parking lots, buildings and side walks"
2013,"RORE, INC.",,GITA MURTHY,,11505 Burnham Dr Ste 101,Gig Harbor,WA,98332-9173,"Woman owned, 8(a) certified, small disadvantaged business with capabilities in design-build construction, renovations, repairs, electrical, HVAC, airfield, control towers, CDC; and environmental remediation, geotechnical, haz mat management and disposal."
2014,"ED'S BUILDING MAINTENANCE, LLC",,OUE T (ED)   IM,OWNER,27419 8TH AVE S,DES MOINES,WA,98198-9311,JANITORAL and Landscape services
2015,THE SAFETY TEAM INC,,SALES  STAFF,CONTROLLER,670 S LUCILE ST,SEATTLE,WA,98108-2640,"FIRE ALARMS, FIRE SPRINKLER SYSTEMS, FIRE EXTINGUISHERS, FIRE SUPPRESSION SYSTEM INSTALLATION AND SERVICE, FIRE ALARM MONITORING, STANDPIPE TESTING AND FIRE ESCAPES. FIRE PUMP INSTALLATION, TESTING AND REPAIR"
2016,"Iron Mountain Management, LLC",,Meghan R Chalk,,1846 Terminal Dr,Richland,WA,99354-4965,"A staffing, project management, and construction management firm. Organizes and manages technical and professional employees on construction, infrastructure, engineering, and environmental remediation projects; administers contracts; provides subject matter expertise; collaborates with union workforce; coordinates employee onboarding and offboarding; and facilitates workshops. Offers design engineering consulting; cost estimating; contract staffing services; human resources consulting; recruiting; business management consulting; electric and water utilities management consulting; facilities support services; independent assessments and study services; records management; document preparation services; workforce planning; professional development; training; mentoring; coaching; and career development."
2017,Danasco LLC,,Dana Palmer,,1013 Meridian Ave E,Edgewood,WA,98371-1065,"Concrete & Asphalt Cutting, Core Drilling"
2018,"Shamrock Security Systems, Inc.",Statewide Security,Becky Willkens,,17725 NE 65th St Ste A160,Redmond,WA,98052-4990,"Security system (fire and intrusion) integrator/installer in business since 1978. Specializing in video surveillance, access control integration and gate automation for commercial, federal, municipal and private properties. Staff includes licensed low voltage (02) and residential (06) electricians."
2019,"KEVIN MEENAGHAN CONSULTING, LLC",Wardroom Success Strategies,Kevin G Meenaghan,,16582 DONNELLY RD,MOUNT VERNON,WA,98273-4779,"Wardroom Success Strategies helps leaders, managers and organizations develop and refine organizational culture by coaching managers and developing teams. We find common ground among team members and tie values and expectations into mission and vision. Wardroom Success Strategies also uses communication style training and a strengths-based approach to align team members with the mission. As the sole owner and operator of this company, Kevin is a transitioned 26-year Naval Officer, executive coach and Gallup Certified Strengths Coach."
2020,SDI Engineering Inc,,DENNIS MESSENGER,Technical Manager,4030 LAKE WASHINGTON BLVD NE STE 205,KIRKLAND,WA,98033-7870,"SDI Engineering provides high caliber design, engineering and consultancy support for systems, controls, aerodynamics and structures applications in the aerospace and aeronautical sectors."
2021,"C. H. W. Enterprises, Inc",Northwest Motor Service,Spencer Wiggins,,1331 Baltimore St,Longview,WA,98632-1624,"Sales, service and repair of electric AC & DC motors, Variable Frequency Drives, Pumps, and Breakers."
2022,"Temp-Rite Heating & Cooling, Inc.",,NICOLE Kelly,,4108 N INDUSTRIAL PARK 4TH ST,SPOKANE VALLEY,WA,99216-6005,"Hvac, Refrigeration & Electrical Service & Installations."
2023,Lightfleet Corporation,,DAVID  PERRY,,4800 Nw Camas Meadows Dr Ste 100,Camas,WA,98607-7698,"Research, engineering and manufacturing of high performance computing and data communications platforms utilizing proprietary free space broadcast optical backplane. Platforms are smaller, lighter and consume less power than alternative solutions"
2024,"PERTEET, INC.",,CRYSTAL  DONNER,,2707 COLBY AVE STE 900,EVERETT,WA,98201-3565,"Perteet Inc. is a 100% employee-owned consulting firm that provides transportation design, traffic engineering, transportation planning, utility/site, surface water, environmental services, GIS, surveying, and construction management services."
2025,"Interloc Solutions, Inc.",,Paul Thielen,,"101 Yesler Way, Suite 606",SEATTLE,WA,98104-2580,"Interloc provides implementation, upgrade, configuration and customization services focused on the Maximo platform."
2026,MCLAUGHLIN RESEARCH CORPORATION,M R C,Alison Grade,,1844 Poulsbo Ave,Keyport,WA,98345-1200,"Founded in 1941, MRC is a small business that provides systems engineering and CAD, CM, ILS, IT program and environmental management, safety infrastructure, technical documentation, graphics and communication, and training services."
2027,Newport Equipment Enterprises Inc.,,Debbie Smith,,328772 Hwy 2,Newport,WA,99156-9260,
2028,"APPLE VALLEY SERVICES, INC.",APPLE VALLEY PUMPING SERVICE,Gregory D Howland,,4499 GRANT RD,EAST WENATCHEE,WA,98802-5355,"septic service, portable toilet rental"
2029,"Tellistic Technology Services, LLC",Washington Operations,Ivan Lumala,,21157 SE 28th Pl,Sammamish,WA,98075-7416,"Microsoft MCSE, Office 365 Certified, Azure Certification"
2030,"Pacific Coast Composites, Inc.",pccomposites,Greg Fochtman,,418 VALLEY AVE NW STE 115,PUYALLUP,WA,98371-3312,"Overnight shipment of small and large quantities of Adhesive, Adhesive Film, Fabric, Primers, Surface Prep and Breather Cloth. Distributor for 3M, AC Tech, Hexcel and InsulFab."
2031,DIMENSIONAL DBA LLC,,Matthew D Parker,,18925 SE 227TH PL,RENTON,WA,98058-0473,DBA and Exadata services along with Hadoop Big Data Services and cloud database architecture for DBAAS.
2032,BRUCH AND BRUCH CONSTRUCTION INC,,Chelsey Pruss,PRESIDENT,1706 W HIGHWAY 101,PORT ANGELES,WA,98363-9458,"CRUSHED ROCK, RIP RAP SUPPLY, ROAD BUILDING, CLEARING AND GRADING OF LAND, CULVERT INSTALLATION, SEWER, STORM AND WATERLINES, RETAINING/HILFIKKER, LOCK BLOCK WALLS, EQUIPMENT RENTAL, BUILDING DEMOLITION, GEOMEMBRANE LINING INSTALLATION AND REPAIR, BLASTIN"
2033,TRANSNNOVATION INC,Thinking of You,Marcy Jaffe,,1213 Blaine St,Port Townsend,WA,98368-6505,"General Transit Feed Specification (GTFS), data management, on-line trip planning, user interface, software testing"
2034,"Steele And Associates, Inc.",STEELE,LYNN STEELE,MKTG MGR,26112 Iowa Ave NE,Kingston,WA,98346-7634,"BODY COOLING VESTS AND GARMENTS, ALL TYPES OF SEWN GARMENTS. HEAT STRESS PREVENTION CLOTHING."
2035,"WHITE SHIELD ENVIRONMENTAL, LLC",,STUART W Fricke,,320 N 20TH AVE,PASCO,WA,99301-4963,
2036,Allofor Inc.,,Parveen Kumar,,1546 NW 56th St. #537,Seattle,WA,98107-5209,Internal Medicine Physicians services Biotechnology and medical research inclination. Global travel experience makes us more oriented for global projects as well.
2037,TommyTQL LLC,TommyTQL,Thomas Macak,,107 Spring St,Seattle,WA,98104-1005,"Software, Hardware, Electrical and IT procurement specialists with 10+ years of project, program and product management."
2038,KENT LABORATORIES INC,,DONALD JORGENSEN,OPERATION MANAGER,777 JORGENSEN PL,BELLINGHAM,WA,98226-9794,"Manufacturer of polyclonal antibodies, radial immunodiffusion plates, fluorescein conjugated antibodies and custom antibodies. In vitro diagnostics for electrophoresis. Lab supplies."
2039,Good Neighbor Handyman and Cleaning Services LLC,,Stephanie Roscoe,,8616 Ne 100th St,Vancouver,WA,98662-1914,"Property Restoration and Preservation Services, Environmental Services (including Abatement, Radon Mitigation, Mold Mitigation), General Contractor Repairs and Remodels."
2040,"Magnum Power, LLC ",,Jeni Hammerstrom,,3458 North Pacific Ave,Kelso,WA,98626-9776,"OH & UG Elec Transmission and Distribution Systems,Substations, FiberOptic, Directional Drilling, Emergency Storm Response, Pole Change Outs, Line Rebuilds and more."
2041,AGREEMENT DYNAMICS INC,,Rhonda Hilyer,,18410 16TH AVE NW,SHORELINE,WA,98177-3310,"Labor relations training and consulting, negotiations training and facilitation, communication training, multi-party negotiation facilitation"
2042,"Daves Mobile Welding, LLC",DMW & MARINE REPAIR,DAVID FLETCHER,,304 10th St Bldg 4,Port Townsend,WA,98368-1820,"We are a certified welding and marine repair shop located in the Port of Port Townsend. We specialize in aluminum and steel and offer custom fabrication, hydraulics, sandblasting and painting."
2043,OSBORN PACIFIC GROUP INC.,,LINDA OSBORN,President,1120 170th Avenue NE,Bellevue,WA,98008-3010,"Landscape architecture, ecological restoration, and regulatory compliance services, including landscape architecture/planning; mitigation planning/design; stream restoration, wetlands, bioengineering, fisheries enhancements, monitoring; permitting; technical editing."
2044,S E INC,SMITH EXCAVATION,Laurie Pipkin,Owner,5885 KIMBER RD,CASHMERE,WA,98815-9527,"Excavation, Site Prep, Septic System, Guardrail, Orchard Tree Removal, Road Building, Water & Utility Trenching"
2045,PORT TOWNSEND FOUNDRY LLC,,Peter R. Langley,Owners,251 OTTO ST,PORT TOWNSEND,WA,98368-9047,Product development and manufacturing high quility products. We have worked in all forms of casting process and have undertaken a very wide range of projects. Look at our web site and you will see just a hand full. www.porttownsendfoundry.com
2046,"GREEN FORENSICS, INC.",,BRIAN GREEN,,409 E PIONEER STE A,PUYALLUP,WA,98372-3267,"Crime Scene Reconstruction, Bloodstain Pattern Analysis, Forensic Science"
2047,"WELSH COMMISSIONING GROUP, INC. ",,Joan W Welsh,,4508 Auburn Way N Ste B,Auburn,WA,98002-1381,"WCG is a small business entity providing full-time, full-service building commissioning since 1999. Our LEED, ANSI Certified CCP, and ACG certified team has commissioned over 600 facilities totaling over 17 million sf nationwide."
2048,PREFERRED INDUSTRIAL ELECTRIC LLC,,Fermin Fernandez,,8924 W BONNIE AVE,KENNEWICK,WA,99336-7956,Electrical Construction: Industrial commercial Residential Service
2049,Critical Medical Solutions Inc.,,THOMAS  Ross,President & CEO,9115 Bridgeport Way SW Ste 3,Lakewood,WA,98499-2449,"Teleradiology Services staff with Board Certified Radiologist. Services provided to Medical Treatment Facilities, Tricare and VA Medical Hospitals."
2050,TOTAL SITE SERVICES LLC,,Shannon  Toranzo,,2780 Salk Ave,Richland,WA,99354-1787,"TSS is highly qualified, experienced full service design build construction contractor capable of self performing many phases. civil, horizontal, concrete, carpentry, finish carpentry, Other capablts:remediation, staffing, fabrication, trucking, sewer, highway construction"
2051,"Knight, Bonnie",Inland Northwest Therapy,Bonnie Knight,,9651 N NEVADA ST,SPOKANE,WA,99218-1132,"We are a locally owned Economically Disadvantaged Women Owned Small Business. We provide telehealth and educational services to rural and under served areas. We specialize in medical coding, nursing, orthotics, physical, occupational and speech therapy."
2052,ISOL8 INC.,,WILLIAM  LOWRY,,151 Seton Rd,Port Townsend,WA,98368-9305,"We develop innovative solutions to energy and environmental challenges. Our capabilities span technology development, analysis and modeling of thermal and flow processes, system design, and large and small scale testing of natural and engineered systems."
2053,"Midvale Signal, Inc.",Midvale Electric,LAURA  R VAN DE GRAAF,President,550 C Midvale Rd,Sunnyside,WA,98944-0000,General Electrical Construction. Utility Line Construction. Railway Signaling & Communications.
2054,HUMAN INTERDICTION HU2 LLC,Human Interdiction Hu2,David Diaz,,901 North M St Studio 7,Tacoma,WA,98403-1533,"System Security, Human Tracking & Interdiction, Intelligence Analyst, Protective Services, Investigation, Tactical Training, Covert Entry"
