View,Name of Firm,Trade Name,unknown,unknown,Address,City,State,Zip,Capabilities Narrative
194,Lagers Electrical Testing And Maintenance,Lagers E T & M,David Lagerquist,,415 LEINUM CT,CHENEY,WA,99004-1329,"Testing and maintenance of electrical distribution equipment. Low voltage to high voltage-highly experienced in generation and transmission utilities start-ups to include protective relaying,SF6 breakers,transformers,etc."
195,"Stoneking Consulting, LLC",,Vincent Stoneking,,4903 15th Ave SE,Lacey,WA,98503-2626,"t Stoneking Consulting we help you acquire the knowledge and skills it takes to make a business succeed. We will work with you on strategy, planning, problem solving, project management, and more. Depending on your needs, we can be in the background or help manage transitions. If your needs range from: • Designing or updating a business model or marketing plan • Coaching & mentoring executives and senior managers • Executing major change initiatives and key projects then we're for you. Whatever the goal, we can help you every step of the way. We will provide or find the resources you need."
196,ADVISICON INC,,Ken Loewen,Advisor of Operations,5411 NE 107TH AVE STE 200,VANCOUVER,WA,98662-6347,"Project Managment and Project Portfolio Managment Consulting, Project Managment Training, MS Project Training, Database Development"
197,FITZGERALD'S GENERAL CONTRACTING,,LARRY FITZGERALD FITZGERALD,PARTNER,134 COUGAR LOOP RD,COUGAR,WA,98616-9703,"Fitzgerald's provides building, road, habitat and environmental construction services with specialty towards road construction and maintenance including EFRO, culverts and environment restoration."
198,"Real Centric Solutions, LLC",Real Centric Solutions,Khris Beyer,,2563 TIGER LN,RICHLAND,WA,99352-8864,"25 years as Federal Contractor (CONUS and OCONUS experience - all design build). Retired, now working as a consultant. CM, PM, Cost Analysis, Independent Cost Estimates, Change Order Analysis. Women Owned and Veteran Owned"
199,Stripes Global Inc.,,Tyson F Schultz,,245 4th St Ste 204,Bremerton,WA,98337-1801,"tripes Medical, LLC is a Service-Disabled Veteran-Owned Small Business (SDVOSB), focusing on providing both preventive-class and treatment-class products to ensure end-to-end healthcare solutions. Stripes Medical, LLC is committed to providing the VA, DOD healthcare systems and large GPOs and IDNs with high-quality solutions. Stripes Medical, LLC was founded on the principle of providing high-quality medical, dental and life science equipment, devices, services, and commodities to veterans, soldiers, and those in need.  Surgical Equipment Manufacture & Supply Medical Equipment Manufacture & Supply Dental Equipment Manufacture & Supply Laboratory Research Reagents & Consumables Commodities"
200,"Abriss Corp, Inc.",,Allen J Kemp,,14710 NE 319 St,Battle Ground,WA,98604-8719,"Working capabilities include;Installation of 11' 6' pipe, all utilities, emergency response work in and around environmentally sensitive area, bank & waterline restoration & stabilization, land slide repair,trails, roadway surfaces, bridges, demolition."
201,Mano Construction And Remodeling Inc ,,Albert Miller,,1108 E EVERETT AVE,SPOKANE,WA,99207-3329,We are a general contractor capable of all phases of building construction
202,"TRI COAST CONSTRUCTION, LLC",,Andrea Ferguson,,755 VANDERCOOK WAY STE 202B,LONGVIEW,WA,98632-2945,Tri Coast Construction provides a full service compliment of public works services from the aspect of a general contractor.
203,"Logistic Resource Solution, Inc ",LRS ,DARRYL  SIMMONS,,15413 1ST AVE CT SO STE 106,Tacoma,WA,98444-4606,"Logistic Resource Solutions, Incorporated (LRS) provides comprehensive management and functional support services to government agencies and corporate organizations. LRS construction division has over 60 years of exeperience."
204,Ataira Analytics Incorporated,,Daniel Beebe,,11612 Ne 155th St,Kirkland,WA,98034-4659,"Ataira Analytics is a provider of products, solutions and development focusing on the full life cycle of business intelligence activities. With broad and deep experience in Microsoft data and reporting technology we can help you derive real value from your information using best practices and certified skilled professionals. We have helped thousands of customers of all sizes deploy a range of data and business intelligence projects either outsourced or as part of a team. We offer cloud software subscriptions for Microsoft Dynamics 365, Exchange, Office 365, SharePoint, Skype for Business or Power BI. Our SharePoint add-in in the Microsoft Store for Power BI allows your team to import and collaborate on your Power BI reports and dashboards in a convenient SharePoint interface with alerts and group notifications. Let our professionals consult with you on solutions for BI technology and business maturity assessment, BI strategy mapping or BI training, development and support."
205,"Pacific Entrance, LLC",,Darrel Watlington,,1788 S Harrier Rd,Ridgefield,WA,98642-7609,"Pacific Entrance is an electric wiring contractor that specializes in installing commercial automatic doors and security systems. Here we offer high quality service at a reasonable price and ensure that our AAADM Certified technicians & licensed electricians will provide expert installations on every project. Our years of experience has made us proficient in working on all types of buildings and dwellings from hospitals to grocery stores and all in between. Pacific tailors its services to each of its clients by engineering systems that fit the company and community. Working with all ADA automatic door brands and security systems makes it easy to find the perfect system and our techs will complete each install with full system integration. In addition, Pacific offers all low voltage wiring services like internet and fiber optic cabling, customized wiring, camera alarm systems and provide 24/7 emergency services. For more information visit www.pacificentrance.com."
206,"Mayda & Sons, LLC",M S M,CHRISTINE MAYDA,,9619 Provost Rd NW,Silverdale,WA,98383-9256,"We are very reliable and have competitive rates. Our technicians have undergone complex training on various manufacturers and equipment and are always learning and training as new things arise. We have many years of experience/training. We can provide you with ideas for energy savings, rebates and ways to meet your needs. We recommend proactive preventative maintenance schedules. Maintenance agreements are tailored to meet the customers individual needs, ranging from basic preventative maintenance to complete system coverage."
207,"DOCKSIDE MARINE SYSTEMS, INC.",,Thomas McDaniel,,27642 128TH PL SE,KENT,WA,98030-8885,"Full Service Ship Repair Sandblasting,Non Skid,Tenting,Welding,Electrical"
208,"Tompco- Triton, Inc",Tompco-triton,Jeff D Tompson,,8505 Leeward Ave NW,Seabeck,WA,98380-8811,"TOMPCO-TRITON is a full service contractor focusing primarily on marine, wastewater and industrial projects for Federal, State, and Local Government agencies."
209,Oqpoint LLC,,Earl Mann,,2521 152nd Ave NE Ste 15A1,Redmond,WA,98052-5574,"OQPoint, is a US based software development company located in Seattle, Washington area that helps organizations design & implement highest quality product. We provide software development, software quality assurance and outsourcing solutions. At OQPoint we focus on helping customers leverage technology in achieving real business benefits with outstanding quality."
210,Salish Construction Company,,Scott Hotsinpiller,PRESIDENT,"10111 South Tacoma Way, Unit D-1",Lakewood,WA,98499-5424,HIGH VOLTAGE ELECTRICAL CONSTRUCTION-OVERHEAD AND UNDERGROUND. Emergency and storm repairs.
211,Kkarugi LLC,,Kenny R Roberts,,5409 12th Ave SW,Olympia,WA,98512-9484,"K Karugi is a minority service disabled veteran owned, small business specializing Information Technology services:  o	Project Management o	Information Systems Security/Management o	Data / Data Center Migration	 o	Storage Area Network (SAN) Management o	Enterprise solution testing, benchmarking, and capacity planning o	Business System Analysis o	User Acceptance Testing"
212,Pacific Rim Transportation Ltd,,MIKE  M HARLAN,,617 North 1st Street,La Conner,WA,98257-0000,"oil barge assist, oil barge towing, tug charters"
213,Veteran Awards Inc.,,Geoffrey Surprenant,,3416 97th Drive SE,Lake Stevens,WA,98258-5728,"Veteran Awards, Inc. is a Service Disabled Veteran Owned & Operated Business providing engraved optical crystal, glass, stone and wooden awards, trophies, plaques and gifts for commemoration, recognition, retirement, memorials, achievement and excellence awards. Each of our Jade glass, Starfire glass, Optical crystal, and stone awards and plaques are meticulously hand engraved using the latest sandblast engraving techniques. We also utilize laser engraving and full color dye sublimation printing techniques for products such as coffee mugs, full color plaques, promotional items as well as many other products and imprinted advertising specialty items. No minimum orders, whether you need one crystal award or 500 laser engraved plaques. We can customize and personalize most any item for your recognition award and promotional needs. We proudly stand behind the quality of our products and work diligently to ensure your complete satisfaction."
214,"Liggett, Philip",Competent Computers & Peripherals,PHILIP A LIGGETT,Owner,1964 NW Siren Way,Bremerton,WA,98311-9396,"Barebones Systems,Custom Computers,Patch Cables,Hubs/Switchs/Routers,UPS/Power Protection,Network Cards, Software,Laptops,Batters,Security Equipment,Cameras,Video Monitoring,Security Locks, Camera Cables"
215,"EMP2, INCORPORATED",EMP2,William S Dunnivant,President,1950 Keene Rd Bldg E,Richland,WA,99352-7752,"Energy Management Services: Energy audits for commercial/industrial facilities,development of energy management and training. Project management and facilitation with a wide range of experience in customer support of energy performance contracts."
216,"Avalon Contracting, Inc.",Avalon Homes,MICHAEL  A. Johnson,,2552 Jefferson Avenue,Tacoma,WA,98402-1304,"Avalon has extensive experience performing all facets of facility maintenance including design, installation, testing, inspection, and repair services."
217,TALON SOLUTIONS INC,,Robert W Kinder,,1722 Harrison Ave NW Ste B,Olympia,WA,98502-5260,"Talon Solutions, Inc. is a management, leadership and IT consulting, firm that provides world-class strategic and operational advisory services to help business executives achieve their greatest potential."
218,"KLET & J, LLC",SMBIZ Consulting Services,GARY  M TRUJILLO,,733 NE 204th St,Shoreline,WA,98155-1040,"SMALL BUSINESS ADMINISTRATIVE & GENERAL MANAGMENT CONSULTING SERVICES & BUSINESS DEVELOPMENT TRAINING ASSISTANCE IN SMALL BUSINESS SET-ASIDE CERTIFICATIONS, GOVERNMENT CONTRACTING, CONTRACT NEGOTIATIONS, BID/COST PROPOSAL PREPARATION & BUSINESS START UP's."
219,"Power Ten, Inc.","P10,",ERNIE  VINSON,,"3006 Northup Way, Suite 301",Bellevue,WA,98004-1445,Engineering and programmatic technical support services
220,"ELECTRIC CITY, INC.",,KEVIN MILLER,,3501 E TRENT AVE,SPOKANE,WA,99202-4416,"New construction, remodel, of electrical equipment. Lighting retrofits, troubleshooting of electrical equipment. Adds, moves and changes"
221,First Thought Mtn. Fire Support L.L.C,,Rob Pottenger,,26263 Hwy 395 N,Kettle Falls,WA,99141-9601,"Over 12 years of experience in fighting wild land fires and structure protection. Support of Local, State and Federal fire protection on water tenders and engines. Water resource for air operations and support for roads, buildings and repairs."
222,"640 Acres, LLC",,Wade R Jost,,3302 Harborview Dr Ste A,Gig Harbor,WA,98332-2193,
223,American Fire Protection Inc,American Fire Protection Company,Michael EVANS,,22279A Stottlemeyer Rd NE,Poulsbo,WA,98370-8957,
224,"Shults, Michael E",,Mike Shults,,4205 NW 153rd St,Vancouver,WA,98685-1125,SDVOSB operated business focused on providing veterans living with mental illness the opportunity to regain control of their lives and continue on in the direction that they choose. In addition we provide a complete employment service to assist participants in obtaining and maintaining employment that they feel is both financially satisfying and personally rewarding.
225,N.C.S. CORPORATION ,,THOMAS WILLEMIN,,11110 25th Ave E Ste A,Tacoma,WA,98445-5338,"Installation of control systems for HVAC systems. BacNet, LON, and DDC systems integration using ASI Controls, Siemens Controls, Tridium, and Wonderware"
226,Interconnect Technologies Inc,,JOHN   OMACK,President,115 W Main Street Ste 202,Monroe,WA,98272-1809,Supplier of enabling technologies for next generation networks
227,"US Archive And Imaging Services, Inc.",US Archive & Imaging Services,Noreen F Plath,,2961 222ND PLACE SOUTHEAST,SAMMAMISH,WA,98075-7146,A Veteran Owned document management solutions provider with 'End to End' solutions for digitizing paper & microfilm documents. Unique national scope with AbilityOne partners. Software & 'Cloud' solutions to access information. Consulting & scanner sales.
228,"AEA CONSULTING, INC",AEA,JOSEPH JOHNSON,,5108 MACBETH DR STE A,ANACORTES,WA,98221-3030,"Professional Engineering Services, Engineering Support, proposals, red teaming, CONOPs requirements derivation, project development, requirements translation,systems engineering, consulting IED Defeat, CREW, mission analysis, modeling and simulation, CEMA"
229,EXY LLC,VetWay Transit & Brokeerage,Richard Perrin,,4808 130th Street Court NW,Gig Harbor,WA,98332-8854,"Vetway Transit and Brokerage is a Veteran-Owned (VOSB Certified) service oriented public transportation contractor with forty years of experience delivering transit service to government, municipalities, state agencies, airport, railroad, transit agencies, VA Hospitals and private business. To view our Federal Contracting information please visit www.fedlinks.com/zoom-communication or Go To FedLinks VetWay Transit"
230,"Aaversal Global Relocation, LLC",Aaversal Global Logistics,Hosea L Bottley,,614 Harrison St Ste B,Sumner,WA,98390-1131,"Aaversal Global Relocations is a Certified MBE/DBE and Disabled Veteran owned Company. Licensed and bonded with over 23 years of Government and Corporate international relocation experience. We are recognized as a highly acclaimed leader in International relocations and freight forwarding. Having no franchise restrictions, the Aaversal team works with over 250 highly experienced agents worldwide, Resulting in a compliment of talent that redefines the meaning of customer service. Aaversal is highly experienced in the art of shipping, packing and logistics of household goods and autos via air, land and sea. Our well established relationships with a diverse selection of shipping lines allows us to provide a global carrier portfolio to facilitate flexible scheduling to meet individual shipping requirements. Aaversal understands the complexity of relocating overseas and want to ensure the client understand and well informed with the process of an international relocation."
231,C & C SOLUTIONS LLC,,William A Canter,,14919 CRESCENT VALLEY RD SE,OLALLA,WA,98359-9555,Johnson Controls FX ABCS Niagara AX/N4 Certified
232,Critical Medical Solutions Inc.,,THOMAS  Ross,President & CEO,9115 Bridgeport Way SW Ste 3,Lakewood,WA,98499-2449,"Teleradiology Services staff with Board Certified Radiologist. Services provided to Medical Treatment Facilities, Tricare and VA Medical Hospitals."
233,Sigma Operational Services LLC,,COREY R White,,16808 NE 11th ST,Vancouver,WA,98684-6403,Sigma Operational Services is a commercial/industrial construction company that provides program and project administration services.
234,"WATSON SECURITY GROUP, INC.",Nyberg Lock Company,Susan Desrochers,,2106 3RD AVE,SEATTLE,WA,98121-2306,"locksmith services, access control, door hardware"
235,"Blue Trident, LLC",,EMMANUEL  T BAUTISTA,,7829 NE Esperione LN,Bainbridge Island,WA,98110-2650,"8(a), SDVOSB general contractor and professional engineering company with over 27 years of experience offering preconstruction, construction, CM, design-build, and engineering services for various commercial projects to federal, state and private clients."
236,"Pacific Integrated Handling, Inc. ",,Pat Bramell,Controller,10215 Portland Ave E Ste A,Tacoma,WA,98445-3919,
237,"TN Federal Consulting, LLC",,Thomas B Nichols,,41 Pine St Unit 106,Edmonds,WA,98020-4148,Consulting services to assist small emerging/small businesses pursue/capture federal government contracts in a cost effective manner while maximizing return on business development investment
238,"Sound Fire & Life Safety Inspection Services, LLC",,Jack W. Fingold,,33412 E LAKE HOLM DR SE,AUBURN,WA,98092-5924,"Sound Fire & Life Safety Inspection Services, LLC is an AC291 Firestop Special Inspection Agency nationally accredited by the International Accreditation Service. SOUND provides BUILDING AND FIRE code required third party FIRESTOP SPECIAL INSPECTION of PENETRATION and JOINT FIRESTOP SYSTEMS installed by the contractor(s) within FIRE BARRIERS of NEW AND EXISTING COMMERCIAL BUILDINGS to restore their FIRE RESISTIVE integrity."
239,SIERRA ENTERPRISES INC ,,Carlton Lewis,,6422 86TH AVE SE,OLYMPIA,WA,98513-5660,"Sierra Enterprises, Inc. (Sierra) has been serving the commercial and public sectors as a Specialty Contractor since 2005 and performs flooring, roofing, specialty coatings and concrete services. Sierra’s projects include public works, seismic retrofits, homes, parking structures, bridges, roadways, high-rise buildings, parks, water treatment facilities, ponds, and utilities. Safety and Green construction are two of Sierra’s highest priorities. Sierra has a deep seated culture of safety which every employee takes responsibility for on the job and on the road. Additionally, all employees are encouraged to promote and utilize LEED practices in all their construction activities."
240,Allegiance Trucking LLC,Marwood General Construction,Rueben Gardner,,26272 Twelve Trees Ln Nw Ste A,Poulsbo,WA,98370-6401,"Site Development and Underground Utility installations for Commercial, Municipal, Federal and Residential projects."
241,OccHealth Services PLLC,,LOREN L LEWIS,,12713 W Greenfield Rd,Nine Mile Falls,WA,99026-9358,"Consulting regarding most aspects of corporate health and safety issues, radiation contamination, exposures, beryllium, health/safety processes, case management, health and productivity management, drug testing, medical-legal concerns."
242,Fidalgo Aeronautical Services LLC,Fidalgo Aeronautical Services,Brian S Farley,,4301 Kingsway,Anacortes,WA,98221-3287,"Provide experience pilots, aircrew and maintenance personnel for complex aviation needs including aerial survey, flight testing and logistics. Worldwide experience including Basler DC03TP ski-equipped aircraft."
243,GETTING PERSONAL IMPRINTING LLC,,JUDI D BROWN,,7402 12TH AVE E,TACOMA,WA,98404-1736,"Laser engraving, Foil imprinting, imprinted napkins, ribbon, playing cards, business cards; Photo Glazing - custom photo plates and related products; Metal engraved dogtags, charms, photo-glazed pendants; Social and Business Invitations and Announcements"
244,BFC CONSTRUCTION INC.,,Justin Lee,,1112 S 344TH ST STE 312,FEDERAL WAY,WA,98003-6728,"General contractor specializing in commercial, medical, dental, veterinary, restaurant and hospitality construction and tenant improvements."
245,Abn Technologies LLC,,TRENA PAYTON,Managing Member,2367 Tacoma Ave S Ste C105,Tacoma,WA,98402-1409,"As preferred vendor by local public agencies for many years, we are a complete solutions provider. We specialize in services, hardware, and staffing to assist clients in achieving their business and goals."
246,"Rate, Inc.",Randco Tanks,Randy Salvig,,2250 TALLEY WAY,KELSO,WA,98626-5540,"Manufacturer and nationwide supplier of superior water tank systems for a wide variety of applications. We are a leading parts distributor for the water tank industry, supplying pumps, valves, assemblies, components and materials on a national and worldwide scale."
247,Bull of the Woods Dozing LLC,,Ed G Taft,,23410 Wallitner Rd,Arlington,WA,98223-4874,"road maintnance, road decommisshining, road building, bridge instalation"
248,Blue Pacific Global Logistics Incorporated,Blue Pacific Expedited,Matthew J Holmes,,11601 State Route 302 NW Ste C,Gig Harbor,WA,98329-7258,"Business management and consulting services pertaining to logistics and freight transportation arrangement, process, and distribution."
249,"Marine Vacuum Service, Inc.",Marvac,TOM  MYLER,PROJ ECT MANAGER/ESTIMATING,1516 S Graham St,Seattle,WA,98108-2820,"24Hr Emrgncy Spill Respnse,Enviro Svcs,Hazardous Waste Transp,Fuel Trnsfr,Tank&Bilge Cleaning,Oil Process,Sludge Process,UST Removal&Install, Demolition&Site Restoration, ,Hwy Easement Cearing,.Environmental Construction, Fish Habitat improvements,"
250,CLICK-CONSULTANTS LLC,,Karen McNamara,,10426 LEEWAY AVE NW,SILVERDALE,WA,98383-8804,"Provide Leadership Development Training, Communications Strategies, Incorporation of Generations and Diversity for desired outcomes, Classroom Management Strategies, Motivational Key Notes, Team Building, Strategic Planning Workshops"
251,Dynamic Environmental Services Inc ,,Jody D  Mask,,18403 E Cowley,Spokane Valley,WA,99016-9524,"Asbestos Abatement, Lead Abatement, General Contractor."
252,"Bulletproof It, LLC",bulletproof-it,Jeff Meining l Meining,,3104 Nw 115th St,Vancouver,WA,98685-3436,"BULLETPROOF-IT offers optimum protection armor solutions to any and all your bullet resistance needs. We offer armor solutions from Body Armor, to Automotive, Aircraft, Marine and Architectural Armor solutions.  Bulletproof-it can provide a wide range of personal armor solutions to meet the needs of both international and domestic end users. At BULLETPROOF-IT, We understand that only the best is acceptable for body armor and tactical equipment. We produce a vast range of body armor which is designed to provide effective protection in high-risk situations. Our products are all National Institute of Justice (NIJ) tested to meet and exceed satisfaction standards. Bulletproof-it Ballistic vest, helmets, tactical gear and equipment is being used by civilian, law enforcement, and armed forces around the world. We take no chances when it comes to saving lives."
253,Blue Trident - Newton JV,,Emmanuel Bautista,,1120 Pearl St,Bremerton,WA,98310-2838,"General Contractor specializing in commercial and industrial construction. Performs tenant improvements, demolition, stucco, plaster and site work. Also provides in-house Professional Engineering capabilities."
254,"Edwards, Vernon J",Vernon J Edwards Consultant,VERNON  EDWARDS,Manager,341 ASHLEY DR,UNDERWOOD,WA,98651-9146,Acquisition training
255,Brothers Pipeline Corp,,Rodney R Welch,,954 JACKSON HWY S,TOLEDO,WA,98591-9418,Oil & gas pipeline maintenance and construction
256,"VET FIRST CONSTRUCTORS, LLC",,Dennis Ray Farrow,,1020 S 344TH ST STE 209,FEDERAL WAY,WA,98003-8713,Vet First is a HVAC and Plumbing contractor operating in the Pacific Northwest
257,"BUTLER GEOSCIENCE, LLC",,Brian F Butler,,18384 RIDGEFIELD RD NW,SHORELINE,WA,98177-3224,"Brian Butler, principal and owner, brings over 30 years of diverse experience in environmental consulting, engineering geology, resource geoscience, communications skills and meeting client expectations. Butler Geoscience offers consulting to assist government owners meet environmental compliance and property management responsibilities including due diligence, environmental assessment and remediation, water quality assessment and source control, permit compliance, and field services."
258,"Bennett, Dewey",Bennett Consulting Services,Dewey W Bennett,Operations Officer,1198 Leahy Dr,Coupeville,WA,98239-9726,"Construction Management, Construction Quality Control, OSHA (Safety) EPA (Environmental) DOT (Transportation) ODP (Homeland Security)Construction specializing in remediation & maritime. Compliance, Training, and Assistance"
259,APGOOD S TAXES AND ACCOUNTING ,,Patrick L Joy,,708 LEBO BLVD,BREMERTON,WA,98310-3325,Provide Personal and Business income tax preparation. Small business accounting and financial record keeping assistance.
260,"NORTHWEST MARITIME CONSULTANTS, LLC",,Mark Allen,,14210 80TH ST E,PUYALLUP,WA,98372-3619,Marine consultants
261,"ECO TEC, INC",,HERBERT R PEARSE,Principal,18617 108TH ST CT KPN,GIG HARBOR,WA,98329-5505,"http://www.eco-tec-inc.com Environmental consultant/remediation contractor and manufacturer of environmentally compatible remediation products. Eco-Tec, Inc. provides site assessment, in-situ remediation, and general remedaiton services."
262,"Hainline & Associates, Inc.",,Jim  Stoner,,1215 Fourth Avenue Suite 1200,Seattle,WA,98161-1098,"Hainline provides project management, construction project management, K-12 construction management, scalable services, scheduling services, delivery method advisement, and project forensics and analysis – all enveloped in our skillful and seamless construction management approach."
263,"Integrated Global Staffing, LLC",JLH Group,Jessica Holloway,,1359 Columbia Park Trl,Richland,WA,99352-4770,"Key Differentiators: ● Our Employees - Qualified and screened for your specific needs. ● Customized Solutions – We place the right people in the right positions to meet your goals and ensure low employee turnover. ● Local & Regional Expertise, National Coverage – Proven ability to provide qualified candidates for Staff Augmentation and/or direct placement positions. Core Capabilities: We provide the following services: ● Project Staffing – Actively recruiting qualified candidates to support your project and ongoing requirements. ● Direct Hire Staffing - Recruit and place the right employees for your organization. ● Human Resource Consulting – Enhance your employee retention, design and administrate benefits plans, develop incentives to align organizational cultures, and maintain compliance with local, state and federal laws."
264,"FRONTIER MARKET SOLUTIONS, LLC",,Sean Brownlee,,21169 Estate Dr,Mount Vernon,WA,98274-7049,"Frontier Market Solutions, LLC dba Ravenox is your solution for Military and Commercial Rope, Cord, Lacing Tapes, Twine, Bungee, Narrow Fabrics, Kernmantle, Commercial Moving and Web Building."
265,"U. S. Electrodynamics, Inc. ",U.S. Electrodynamics ,Darryl  White,,66C Teleport Drive,Brewster,WA,98812-0000,"US Electrodynamics, Inc. is a privately owned communications company using a combination of satellite and terrestrial to deliver flexible solutions to the video, voice, data, and internet service needs for all commercial and government applications."
266,"Grace Premier Fitness And Wellness Products, Inc.",Black Iron Strength,THOMAS  W GRACE,,3407 Ne 113th St,Vancouver,WA,98686-4348,"Leader in the fitness industry since 1992. We are a SDVOB company. Expert in Quality and Innovation. All of our products are made in the USA. Black Iron Strength® has been awarded 15 US Patents, which are more patents than all of the other freeweight equipment companies combined. Our commercial strength equipment is used by premier college and pro teams as well as fitness centers, home gyms, and personal training facilities. Black Iron Strength® manufactures the only commercial grade adjustable dumbbells on the market and has the patent on antimicrobial copper handles, which protects the user 24/7/365 from germs."
267,"HOTCHKI CONSTRUCTION, LLC",,Tim Hotchkiss,,16808 N DEAN RD,NINE MILE FALLS,WA,99026-9389,Residential and commercial remodeling
268,Chandler Solutions LLC,,Christopher Chandler,,2617 39th Ave W,Seattle,WA,98199-3109,We are a SDVOSB operating in the greater Seattle area offering cost effective solutions to security guard and patrol services as well as facilities management services. Armed and unarmed professionals available to meet all client requirements.
269,Quantom Solutions LLC,Quantum Solutions,David R Storr,,905 West Riverside Ave Suite 603,Spokane,WA,99201-1099,"Turn key Office Furniture Sales and Installation. CVE certified Service Disabled Veteran Owned Small Business. Full Service Furniture Dealer specializing in Space Planning, Computer Aided Design, Project Management, and Installation. Pricing terms and conditions are based upon manufacturer's GSA or BPA terms for each project. We specialize in Systems Furniture, Workstations, Executive Offices and Conference Rooms, Task Chairs and Desking, Wood and Laminate Furniture, Tables, Chairs, Height Adjustable Furniture, K-12 and Higher Education Furniture, Casegoods, Storage, Warehouse Storage, Office moving and reconfiguration"
270,"URBAN BUGGY LLC, THE","Urban Buggy Farm, The",DENNIS  T Comer,,308 22nd Ave S Ste 101,Seattle,WA,98144-2260,"We are a distribution company, specializing in the procurement of personal protective equipment, cosmetics/beauty products, and some specialty food based products"
271,"BURTON CONSTRUCTION, INC.",,JERRY  BURTON,President / Owner,3915 E NEBRASKA AVE,SPOKANE,WA,99217-6641,"SBA Region 10 Prime Contractor of the Year 2000, Rising Star Award 2003 & 2004. Renovation, new construction,bridges,security,concrete,carpentry, painting, masonry,roofing, demolition, excavation,utility work,lead paint abatement,mechanical,& electrical."
272,Advanced Technology Construction Corporation,,Dennis Farrow,,3828 E Portland Ave,Tacoma,WA,98404-4620,"ATC is a General Contractor specializing in Industrial and medical Construction & Federal Contracting; Design Build, Medical Office & Hospital Renovations as well as Cleanroom and Data Centers. ATC is also able to perform Site/Civil work, Roofing & Raised Access Flooring. Current area of operations include, California, Oregon, Washington State, Idaho, Alaska, Montana, and New Mexico."
273,WINKLER-NNAC JV,,Regina  Lettau,,5516 N STARR RD,NEWMAN LAKE,WA,99025-8609,"GENERAL & SPECIALTY CONSTRUCTION, HEAVY CIVIL AND CONCRETE"
274,PCI Pest Control Inc.,,Matt A Purcell,,2812 Pacific Ave SE,Olympia,WA,98501-2039,"Pest Control Services, Pesticide Application for Extermination of termite, ant, cockroach, spider, bee, wasp, bedbug, flea, fly, rodent, mouse, rat, bird control. Herbicide application for vegetation & weed management, right of way, tree & shrub spraying"
275,"U. S. Wax & Polymer, Inc.",USWP Manufacuring,Scott Messingale,,17625 East Euclid Ave,Spokane,WA,99216-1737,"Our company began in 1992 with the vision of making a measurable difference and creating the most advanced manufacturing facility possible by utilizing tomorrow’s technology today. We are a turnkey manufacturing company with job shop capabilities. DESIGN & ENGINEERING METAL STAMPING PROTOTYPING POLISHING CNC MACHINING INJECTION MOLDING SURFACE FINISHING ASSEMBLY Quality assurance and excellent customer service are our first priorities. We can deliver throughout the Inland Northwest; but produce components and parts that are shipped internationally. At USWP Manufacturing we constantly strive to improve our skills, quality standards and manufacturing efficiencies to produce products of the highest quality. Through ongoing training, research & development, attention to detail and a dedication to excellence, we guarantee a final product manufactured to strict tolerances for unmatched quality. YOU IMAGINE IT, WE MAKE IT."
276,"MedLog Solutions, LLC",,Jeff Skillicorn,,21621 118th St E,Bonney Lake,WA,98391-7808,
277,KAPOWSIN AIR SPORTS LTD,,KERI  BELL,,141 W AIRVIEW WAY,SHELTON,WA,98584-1283,
278,68J Medical LLC,,VEGAS WANG,,14805 68th Ave E,Puyallup,WA,98375-7004,"Millions of Surgical masks, FDA EUA approved KN95 respirator, Protective Gown, gloves, isolation face shield, isolation eye wears."
279,"ZIEMEK DENTAL LABORATORY, INC.",,Barbara A Andrews,,2310 Mottman Rd Sw Tumwater,Tumwater,WA,98512-6232,"Full Service Digital and Traditional dental laboratory, providing both removable and crown and bridge dental restorations. Primary focus of expertise is in digital workflow, reduction of time and cost to dental practitioners.100% Specializing in digital workflow, 3 day turnaround modeless restorations available."
280,"Eastside Saw & Sales, Inc.",,SUSAN J BEETHAM,,12880 Bel Red Rd Ste 1,Bellevue,WA,98005-2695,Sharpening metal and wood cutting blades sell wood and metal cutting tools CNC manufacture custom bandsaws
281,"Chet Williams Construction, Inc.",,Troy W Williams,,12126 SE 284th St,Auburn,WA,98092-4004,
282,"B.R. MANAGEMENT SERVICES, INC.",,ROBERT G RETTIG,,2187 HAMMOND AVE,DUPONT,WA,98327-9771,"postal service, landscaping service, custodial service, and food service contractor, security guard"
283,Cortinas Painting Inc,,Ian Cortinas,,700 Yuma St,Milton,WA,98354-8952,Commercial Painting-Interior/Exterior Tenant Improvements Water Repellant Pressure Washing Graffiti Removal
284,BCE Construction Inc,BCE CONSTRUCTION,SAMUEL ROSS,,1135 LAKE WASHINGTON BLVD N UNIT G212,RENTON,WA,98056-2943,"236118 Renovation, addition and rehabilitation for Residential Construction: Over 25 years of experience in working on rehabilitation projects, demolition, re-configuring rooms, bearing wall handling, engineering engagement on technical details.  236220 Commercial Building Construction: Over 6 years working on projects from design, build, to additions.  238330 Flooring Installer for Carpet, Hard Surfaces, and Wood Installation: Over 12 years of experience in installation of carpet, hard surfaces, and wood.  238340 Stone, Ceramic, Floor Leveling, All Tile and Natural Stone Flooring Installation: Over 6 years of experience in installation of all tile work, grouting, and backboard installation."
285,"Puget Sound Repair, Inc.",PSR,Jim Shreve,President,7410 5th Ave S,Seattle,WA,98108-4112,Steel and Aluninum Fabrication and Vessel Repairs
