view,name_of_firm,trade_name,Owner,address,city,state,zip,description
180,Sister Sky Enterprises Inc,Sister Sky,Marina Turningrobe,55 East Lincoln Road Suite 102,SPOKANE,WA,99208-5647,"Delivering empowerment and enrichment services to disadvantaged communities through culturally-conscious training, technical assistance, research and evaluation, event management and communications. We recognize sensitivity as crucial in fostering improvements in health, education, safety and self-determination. Experienced in our primary services, along with expertise in project management, financial management, and implementation, program development, strategic growth planning, technical communications, marketing, and branding. Training: Using formative research protocol and tools, we provide surveys, focus groups, needs assessments, and other information gathering processes to determine requirements for participant and stakeholder success. With culturally appropriate guidance, we build didactic and experiential learning management systems including curriculum design, pilot testing, delivery and assessment. Training offered via onsite, virtual, web-based or product dissemination."
181,Qualitel Corporation,Quality Electronic Assembly,TUANHAI  Hoang,11831 Beverly Park Rd Bldg A,Everett,WA,98204-3526,"Printed Circuits Board Assembly, Surface Mount (SMT), Through-Hole, BGA, FP, Test, Box-Build, Conformal Coating, X-RAY, Soldering, Wave. Electronics Manufacturing Service."
182,"Sealaska Environmental Services, LLC",,Terrence Heikkila,1200 6th Ave Ste 800,Seattle,WA,98101-3113,"Construction services including, excavation, trenching, concrete work, piping, power and communications wiring, apparatus install and alignment and, full service Environmental Services including contamination assessments, site remediaiton and monitoring."
183,Kira Construction Management LLC,KIRA International,Richard Rinehart,4208 198th St SW Ste 104,Lynnwood,WA,98036-6736,"We provide operational support and maintenance services for marine operations.Ship Building and repairing. Harbor maintenance services,Port facility operations and food services operations for DOD and commercial services.Provide property administrative services. We provide Management Services for Large Scale Industrial/Commercial Building Construction"
184,NORTH STAR CONSTRUCTION AND ENGINEERING INC,,Darlin Sanchez,1234 Charleston Beach Rd Ste D,Bremerton,WA,98312-4502,"North Star celebrates 25 years in the heavy civil construction industry. Under the SBA 8(a) program North Star has grown from specializing in horizontal construction, design-build construction, and vertical."
185,Khan Machine Tool Company LTD,,MOHAMMED A KHAN,19510 21st Ave W Ste B,Lynnwood,WA,98036-4867,"PRECISION MACHINING, PROTOTYPE, JOBSHOP, MANUFACTURING, ASSEMBLIES, MILLING, TURNING"
186,"SAI SUNYATA AGENCY, INC",,MARK  R JONES,20023 SE 210TH ST,MAPLE VALLEY,WA,98038-6409,"Management, integration, and operations (M&I) consulting services that optimize planning and operations to result in cost savings, costs avoidance, new revenue streams, and increased individual and organizational leadership capacity and resilience."
187,BUBBERS LLC,BUBBERS JANITORIAL & GRAFFITI REMOVAL,DELTON JOHNSON JOHNSON,12650 1ST AVE S STE C,SEATTLE,WA,98168-2617,"Commercial building janitorial/custodial cleaning, construction clean-up. Full service traffic control and flagging: Set-up, mobilize, execute and tear-down for construction projects, road work and highways. Anti-graffiti services including removal, cleanup, anti-graffiti coatings, graffiti preventative plans and monitoring."
188,BANDA ENTERPRISES LLC ,Comfort Keepers ,Cindy Adkins,"2958 Limited Lane NW, Suite B",OLYMPIA,WA,98502-4577,"Olympia provides in-home personal and companion care to elderly and disabled persons in their own home or alternate living situation under a formally established and mutually agreed-upon Plan of Care. The services provided under the Plan of Care directly provide for the needs of our clients that will allow them to remain in their home, whereas without these services, the individuals would unlikely be able to remain in their own home. Our guiding philosophy is to enrich the lives of our clients through a system of Interactive Caregiving, wherein the client actively participates in his/her own care, thereby providing the stimulation that all people need to enjoy a meaningful and fulfilling life."
189,Hughes Group LLC,"HG SOLUTIONS, DIA-MO CLEAN, TOP CHOICE SUPPLIES",PATRICK L. HUGHES SR.,3701 S Lawrence St,Tacoma,WA,98409-5717,"Logistics,Aircraft Maintenance,Janitorial, Janitorial, Consulting, Warehousing, Food Services, Computers, Facility Maintenance, Transient Alert, Security Systems, Custodial, Food Service, Animal Care, HAMS, Antiseptic Cleaning, Hospital, Housekeeping"
190,BFC CONSTRUCTION INC.,,Justin Lee,1112 S 344TH ST STE 312,FEDERAL WAY,WA,98003-6728,"General contractor specializing in commercial, medical, dental, veterinary, restaurant and hospitality construction and tenant improvements."
191,"PAN PACIFIC ELECTRONICS, INC",,EDWIN DU,17985 NE 65TH ST,REDMOND,WA,98052-4964,"CONNECTORS, CONNECTOR TOOLING, RELAYS"
192,AALTA LLC,Point 5 Solutions,Daniah Tajudeen,6501 36th Ave NE,Seattle,WA,98115-7427,"Aalta is 100% minority- and woman-owned total small business incorporated in 2011. Aalta specializes in high quality big data analytics, software design and development services, IT support services, quality assurance, configuration management, application development services, mobility solutions, and business intelligence. Aalta offers unparalleled services and support with the highest trained personnel in the industry."
193,TOTAL PROPERTY SERVICES LLC,Total Property Services,Doug Horner,10324 Portland Ave E,Tacoma,WA,98445-3950,"Total Property Services is a full service general contractor and low voltage electrical company. We service commercial and residential clients doing construction, remodeling, fire alarm systems, CCTV, access control, landscape construction, low voltage electrical, pre-engineered steel erection, snow plowing and removal, deicing, fiber splicing and pulling (both utility and private), fiber certification. TPS services customers in Washington and beyond from our office centrally located in Tacoma, WA."
194,"SAYLA-TEC, INC.",,SANYA  Ala,1218 W BELLWOOD DR,SPOKANE,WA,99218-2909,"Supply management contracts, keep fill procurement, bar coding services, research specialists and product design, safety training, consultants, hazardous waste management/hauling, lab and analytical testing and language interpretion/translation services"
195,Imperial Construction ,,Sergio DE LA TORRE,217 W 1st St,Wapato,WA,98951-1303,"General contractor specializing in commercial construction, demolition, excavation, concrete, trucking, erosion control, wood frame, road repairs, residential, historical renovation, remodel."
196,"Cherokee Construction Services, LLC",,Paul V Herschell,901 W Evergreen Blvd Ste 150,Vancouver,WA,98660-3391,Cherokee Construction Services is a general contractor and environmental company with an established reputation for providing innovative & customer oriented solutions for our many clients. We provide services throughout the US in many disciplines.
197,AEROGENE LLC,,Robert Griffiths,4055 38TH AVE SW,SEATTLE,WA,98126-2430,"UAS development, test and certification expertise and assistance."
198,O'neill Service Group LLC,OSG,Dennis Oneill,17619 NE 67TH CT # 100,REDMOND,WA,98052-4944,"OSG provides QA/QC Special Inspections and testing and Environmental Services on Transportation, Infrastructure and Commercial Buildings"
199,Mount Saint Helens Reforestation Inc,,AURELIO  QUINTERO,118 N Market Blvd,Chehalis,WA,98532-2666,"TREE PLANTING, PRECOMMERCIAL THINNING, BRUSH CUTTING, HAND & MACHINE SPRAYING, SHIPPING."
200,WELCOME TO LIVING,,Taya Bennett,2224 BONAIR PL SW,SEATTLE,WA,98116-1825,
201,509 ENTERPRISES INCORPORATED,,Laureen G Contreras,850 Rocky Ford Road,Toppenish,WA,98948-9644,"family owned professional services meeting year-round supply and demand needs for fresh fruit and metal/plastic, plumbing/heating equipment and other construction materials."
202,TOMBO ENVIRONMENTAL LLC,,Ian Stupakoff,8412 JAMIESON COURT SW,OLYMPIA,WA,98512-2471,"Tombo Environmental LLC offers its clients over 20 years of experience on highly skilled and custom designed field sampling solutions, as well as research and development of specialized sampling equipment. Tombo’s subcontractor network of environmental consultants includes firms with expertise in ecological and human health risk assessments, data validation, statistical analysis, permit specialists, engineering design and remediation plans. Tombo offers wide-ranging experience in experimental design, analytical field laboratory work, and field sampling activities. Other services include: planning field investigations, managing large groups of scientists, design and deployment of field data collection systems, contaminated superfund sites, sediment profile imaging,national network of partners and subcontractors, low overhead and highly skilled professional subcontractors with the capability to quickly and cost-effectively complete a project."
203,Blue Trident - Newton JV,,Emmanuel Bautista,1120 Pearl St,Bremerton,WA,98310-2838,"General Contractor specializing in commercial and industrial construction. Performs tenant improvements, demolition, stucco, plaster and site work. Also provides in-house Professional Engineering capabilities."
204,MB Diversity LLC,,Anthony Burnett,6523 CALIFORNIA AVE SW # B255,SEATTLE,WA,98136-1833,"MB Diversity specializes in 3 areas: Staffing, Consulting and Managed Services. Our mission is providing contract employees with rewarding employment opportunities and clients with high quality talent with a highlight in the diverse talent pool. We have joined the commitment towards improving diversity in the workplace. We believe a diverse workforce combines talent from different backgrounds and experiences that together breed a more creative, innovative, and productive workforce."
205,"Petrocard, Inc. ",,JENNIE  HANSON,730 Central Ave S,Kent,WA,98032-6109,"PetroCard will work closely with you to develop a custom fuel management program. From cardlock & mobile fueling, to bulk fuels & lubricants, we have the experience, expertise and products that will work for your company, fleet and budget."
206,Kkarugi LLC,,Kenny R Roberts,5409 12th Ave SW,Olympia,WA,98512-9484,"K Karugi is a minority service disabled veteran owned, small business specializing Information Technology services:  o	Project Management o	Information Systems Security/Management o	Data / Data Center Migration	 o	Storage Area Network (SAN) Management o	Enterprise solution testing, benchmarking, and capacity planning o	Business System Analysis o	User Acceptance Testing"
207,YES WE CAN FLAGGERS LLC,,Tamara J  Harris,6883 HOLLY PARK DR S,SEATTLE,WA,98118-3501,Specialize in traffic control service and instruction. Over 26 years of experience in flagging and directing traffic. Excellent safety rating. State certified Flagger instructor.
208,Tan Industries LLC,,Cosmo  Tan,160 Lure Ln,Wenatchee,WA,98801-4501,"Highly skilled in mechanics & fabrication technics with heavy equipment, fleet trucks & trailers. Certified in welding with mobility in all services. Excavation services for land preperation or property debris clearing, for installation of soil, sand, gravel, or utility lines."
209,"Humbition Consulting, LLC",,Steven Sun,4123 NE 9th Pl,Renton,WA,98059-4527,"Engage: Connect marketing and sales strategy, conduct platform assessment, and execute e2e campaign in driving customer acquisition and loyalty. Enable: Transform digital office with portfolio rationalization, new product & services go to market, agile program management, and rapid pilots in accelerating market agility and positioning. Empower: Turn disparate data, resources, and infrastructure into insights, next best action, and strategic roadmap in elevating business competitiveness."
210,ELEPHANT CHATEAU LLC,,Rangit Seneviratne,6628 S 238th Pl Apt K110,Kent,WA,98032-2650,
211,XITIJ Corporation,Arth Systems,VIVEK KULKARNI,2703 152 Ave NE Suite 6N,Redmond,WA,98052-5515,"Arth Systems offers professional services in building, Growth Plan to realize client's vision. We provide consultative guidance on planning for 'Technical Readiness', 'System Integration' with reduced cost,towards client's revenue growth."
212,"WHH Nisqually Federal Services, LLC",Nisqually Construction Services,Jon Kirk,12820 YELM HWY SE STE H,Olympia,WA,98513-6703,"General contractor and construction manager performing design-build construction projects primarily for federal agencies in the Pacific Northwest. Expertise in civil construction, utilities, structures, quality control and inspection services."
213,ALLTECH PAINTING LLC,,Ahmad Sarhan,2305 N 159TH STREET,SHORELINE,WA,98133-6028,"Full service painting company including industrial, commercial and residential services. Maintenance painting and new construction painting."
214,"TALAKAI CONSTRUCTION, LLC",,Dana m Gervais Talakai,9236 25TH AVE SW,SEATTLE,WA,98106-2604,Project manager has 38 years of construction and project bidding experience and has run million dollar projects for other construction firms.
215,T&H SERVICES LLC,,Richard Rinehart,4208 198TH ST SW STE 104,LYNNWOOD,WA,98036-6736,"TH Services LLC is a best in class facilities maintenance contract that has vast experience in a variety of areas. TH provides HVAC, Electric, Plumbing, Carpentry, Sewer Treatment Plant, Environmental, and Roads and Grounds maintenance and repairs."
216,"North Wind Site Services, LLC",,KIMBERLEY KEARNEY,507 Knight St Ste A Rm 110,Richland,WA,99352-4258,"North Wind Site Services provides full-service environmental remediation and investigation, decontamination, and disinfection. North Wind Site Services is an SBA certified 8(a) firm and is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). Under North Wind Group, North Wind Site Services operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind Site Services offers clients a low risk small business concern that is backed by a mature, financially strong parent organization and an excellent past performance history. Occupational Health (Industrial Hygiene, Health Physics, and Respiratory Protection) and facility disinfection and cleansing services."
217,"Contract Resource Group, Inc.",,Don Isaacs,715 E SPRAGUE AVE STE 40,SPOKANE,WA,99202-2142,"Office furniture sales, installation, layout. Accessories for office. Station walls."
218,"Scoop Or Scuttlebutt, LLC",,Winston A. McMiller,325 Chelan PL NE Unit D2,Renton,WA,98059-5274,"Cloud services, storage, migration, data retention, encryption, compliance, Identity & Access Management, risk assessment, risk mitigation, program management, security assessment, publishing and instructional design."
219,"Salcido Connection, Inc, The ",,Malachi J Salcido,615 N WENATCHEE AVE STE C1,WENATCHEE,WA,98801-2091,"Full service & construction mechanical: 1.) HVAC/R systems: EMS controls, sm. to large tonnage commercial & industrial systems, rack systems, chiller & boiler systems, and vent. 2.) Universal Electrical design, construction, renovation, and service."
220,HI GRADE ASPHALT & SEAL COAT INC,High Grade Constructions,ENID DUNCAN,113 Meridian Ave E,EDGEWOOD,WA,98371-1029,"HiGrade Contruction Asphalt is a paving contractor servicing all of Washington. We specialize in custom projects, large and small, ranging from vast roads and parking lots to private driveways and sidewalks. With over 30 years of experience, flexible scheduling and free estimates at no obligation, you can rest assured HiGrade will perform excellently to meet your needs. We have offices in Edgewood WA and Ocean Shores WA. It is our goal to provide the best product for the best price and meet customer satisfaction!"
221,"Western Fire & Safety Company, Inc.",,TANYA H AGHA,2654 NW MARKET ST,SEATTLE,WA,98107-4139,"SALES, SERVICE AND INSTALLATION OF FIRE AND SAFETY EQUIPMENT.Certified Hydrostatic Pressure Testing and full service shop with Halon1211 and Halon 1301 service and recharge capability. Full field service and specializing in Marine Service"
222,"Scout Lake Construction, Inc.",,Erick Bond,350 Harrison Rd,SELAH,WA,98942-9505,"Road Construction and Maintenance, Utilities/Septic Installation, Retaining wall installation,"
223,Nisqually Communication Services Government Corp.,,Peter Martin,12820 Yelm Hwy SE Ste B,Olympia,WA,98513-6703,"Nisqually Communication Services Government Corp is a tribally owned small business based in Washington state that was established in 2017, specializing in underground and aerial fiber construction services, including directional drilling, excavation, restoration, traffic control, and utility location services. We offer an end-to-end client experience that includes seamless communication, budgeting, on-site organization, and consistent, high-quality work. Nisqually Communication Services has worked successfully with Municipalities, Counties, Ports, PUD's, Tribes and several local communications providers while never missing a client commitment date and maintaining excellent safety ratings. We currently serve as the emergency restoration company for one of the large providers in the area. Our highly qualified team delivers extensive construction experience with unmatched customer service throughout Washington, Oregon, California, and beyond."
224,"Cat Works, LLC",Catworks Construction,Mike Merrill,3501 THOMPSON AVE,VANCOUVER,WA,98660-0000,"General contractor specializing in civil const. work, i.e. sewer, storm, and water lines along w/ grading, paving and excavation for roads, structures, culverts, buildings, bridges, clearing, demo, hazmat cleanup, retaining walls, & value engineering."
225,"Jones & Associates Contract Services, LLC",,Joseph Jones,747 Washington Ave N Ste B,Kent,WA,98032-2917,"Jones & Associates Contract Services, LLC is an (IT) solutions services company that provides consulting service on acquisitions of computer hardware, software and peripheral equipment. It provides consulting services on sourcing, procurement and delivery services with logistical support. Providing competitive services for procurement of electronic computer manufacturing, storage devices and cloud availability. We can also help with all computer accessories including notebooks, tablets, servers, software, monitors and projectors. It serves large departments and small to medium enterprises and is located in the south end of Seattle/Puget Sound. We have a reputation for excellence, accuracy, product availability with a strong customer services orientation."
226,Hangout Corp ,CORPORATION ,Chima A Nwala,4505 UNIVERSITY WAY NE 99,SEATTLE,WA,98105-4510,Hangout Corp provides podcast and business consultation services using our trademarked PODBUM brand. Hangout Corp also conducts feasibility studies and educational presentations relating to Occupational Health and Safety requirements in accordance with OSHA standards. Provides military Transition Assistance Services for recently separated veterans transition services looking to start businesses. Virtual Training for COVID-19 response.
227,RELIANT GROUP INC,,Scott  Nguyen,360 Midland Dr,Tukwila,WA,98188-3807,"Reliant Group is a comprehensive service and product procurement provider specializing in space planning, project management, product specification and interior design services. Reliant is a full-service contract furniture dealer who also provides FF&E products and services to meet the needs of many market segments including the office/commercial, hospitality, healthcare, assisted-living, and multi-family segments.  Reliant also provides moving services, office reconfigurations, logistics management services including receiving and delivery services of specialty items. Reliant also plans, procures, and installs all types of interior finishes including kitchen and vanity cabinets, countertops, flooring, painting, signage, and tiling. Reliant is a licensed and bonded general contractor with in-house trades in electrical, low voltage, and IT support and infrastructure management. Reliant is a self-certified small disadvantaged business in all of its assigned NAICS codes."
228,"GENE SHIFTERS, LLC",,KULVINDER Gill,640 SW Sundance Ct,Pullman,WA,99163-2080,"Gene transfer service, biotech consultation, crop varieties, all genomics, genotyping, DNA fingerprinting, genetic bar coding, crop identification services."
229,Weldin Construction LLC,,Thomas  Selmer,801 6TH ST,BREMERTON,WA,98337-1439,"Weldin Construction is a qualified HUBZone small business that provides comprehensive construction services for commercial, military, and government customers. Weldin provides General Contracting and subcontracting services and is capable of self-performing carpentry, civil, fire protections, electrical, and mechanical. Weldin has extensive past performance to support Petroleum, Oil and Lubricants (POL) and fuel related projects. Weldin's qualifications are best reflected in our current and ongoing indefinite delivery/indefinite quantity (IDIQ) contracts as well as our competitively bid projects. Our excellent past performance for the U.S. Air Force, U.S. Army, U.S. Army Corps of Engineers, U.S. Coast Guard, U.S. Fish and Wildlife, U.S. Department of Veterans Affairs and various commercial clients is testament to our capabilities and outstanding service we provide. Weldin is a low risk small business with large business processes, procedures, and infrastructure with a current EMR 0.76."
230,Ross Company Engineering Services LLC,RCES,MICKEY V ROSS,9324 Canyon Rd E,Puyallup,WA,98371-6306,"Ross Engineering Services LLC provides process, systems and computer engineering; quality assurance; graphical information systems and sustainability management; renewable energy: solar and wind (offshore and land) systems products and services. State Certified water testing. Certified Marriage and family counseling. Certified Social worker, Medical Insurance Training for Providers including TriCare."
231,"CHEYENNE ELECTRIC, INC.",CHEYENNE CONSTRUCTION SERVICES,ANDREW  HUNT,6511 W HOOD PL STE A,KENNEWICK,WA,99336-1713,"Cheyenne Electric, general/electrical license has performed 22,000sf police station, credit union, (3)fire stations, restaurants, 65,000sf New school. Systems: fire alarm, generator, security, phone/data, Power / Service / Distrubution Systems."
232,"Access Fire Protection Services, Inc.",,SHANNONGAIL  J. CHERNOFF,7708 84th Ave Ct NW,Gig Harbor,WA,98335-5209,"Fire Suppression Systems Installation & Svc, FM-200-for computer rooms, UL-300-for commercial kitchens, Industrial Dry Chem Systems for Paint Booths ,Fire Extinguisher Sales and Service and Extinguisher Cabinet Sales."
233,"Tunista Construction, LLC",,Sam R Brice,33400 8th Ave S Ste 105,Federal Way,WA,98003-2603,"//COMMUNICATE, INNOVATE, SERVE AND Provide quality, cost-effective services to both public & private sector clients with EXCELLENCE in Safety, General Construction, DESIGN/BUILD, Consulting and Civil Construction."
234,Lee Rose Inc,Maben Trucking And Excavating,CINDY B MABEN,1635 McDonald Tracts Rd,Grayland,WA,98547-0000,"General Contractor, Total Site Preparation - excavation,ground preparation, material placement, fill, gravel, utilities, septic installation, Road Building, Trucking - Dump Trucks, Water Line & Fire Line Installation."
235,Jabez-Absher Small Business Joint Venture ,,Mike Steinthal,13322 142nd Ave E.,Orting,WA,98360-9560,"Jabez Holdings, Inc. dba Jabez Construction/ST Fabrication, the JV Partner and Team Lead, has supplied fabricated structural and miscellaneous steel for over 40 years. As a small-business full-service general contractor, Jabez Construction provides pre-construction, GC/CM, renovation and/or new construction services for commercial, institutional, municipal, and DOD agency projects.  Absher Construction Company, the JV Partner and is a leading provider of general contracting (80 years), construction-management, and pre-construction services. Absher has a wealth of experience in Design-Build, Design-Bid-Build, and Design-Assist delivery methods. Absher’s DOD projects for the Army, Navy and the National Guard span almost 40 years. Jabez -Absher has a proven relationship as Subcontractor/Design-Builder on past projects for NAVFAC, USACE, and commercial clients. Our past experience together was the basis of forming and gaining SBA approval for our Mentor-Protégé Agreement."
236,"Rock Project Management Services, L.L.C.",Rock PM Services,Bernie ODonnell,1601 E Valley Rd Ste 110,Renton,WA,98057-3314,"We are a full-service program, project, and construction management small business, minority and woman owned serving public and private clients as Owner's Representatives. We providing scheduling, estimating and project controls services, property management and other project management-specific technical services."
237,Octanium Corporation,,Michael Harvey,6326 34th Ave SW Unit C,Seattle,WA,98126-3176,"CYBER SECURITY & INFORMATION ASSURANCE Octanium Corporation works with clients to resolve current and emerging cyber security challenges. We extensive years of experience in defining and formulating information security processes and procedures to help clients maintain a secure posture during and after the engagement. The company delivers creative solutions that help meet clients' budgets and tight deadlines. PROGRAM & PROJECT MANAGEMENT Octanium’s Program, Project and Process Management Group offers dedicated seasoned and trained professionals that bring their real-world experiences to the client's scenarios. The subject matter experts work with their clients, both offsite and onsite. NIST RISK MANAGEMENT FRAMEWORK (RMF) Certified expert Security Control Assessment and Validation services to achieve Authorization to Operate for any size system in accordance with NIST RMF. We help transition from DIACAP to RMF and provide security engineering to stay compliant and secure."
238,JRA SOLUTIONS LLC,,Ray Atwood,9418 N K CT,SPOKANE,WA,99208-4330,"We offer program management, project management, staffing and professional services. We also offer comprehensive business development services including marketing (traditional and online), capture management, estimating, M&A, grant writing, teaming arrangements and joint venture arrangements."
239,"Lin & Associates, Inc.",,ADOLPH  FURTADO,901 Fifth Ave Ste 2710,Seattle,WA,98164-2051,"Land Surveying; Structural Engineering, specializing in roads, bridges, retaining walls, tunnels, etc.; Construction Management services also provided."
240,"Western Safety Products, Inc.",,Neil RADHEHSWAR,505 S Lander St,Seattle,WA,98134-1921,"SELLING PROTECTIVE CLOTHING, GLOVES, FIRST AID KITS, AIR PURIFYING RESPIRATORS, CARTRIDGES, WELDING SUPPLY, ABSORBENTS, FALL PROTECTION, HEAD PROTECTION, HEARING PROTECTION, EYE & FACE PROTECTION, EYE PROTECTION, SAFETY STORAGE, SIGNS & LABELS."
241,Infinity Global Xpress LLC,IGX,Hardeep Singh,4504 E Valley Hwy E,Sumner,WA,98390-9506,"We are Freight Forwarder and freight broker. We can handle all your freigth needs from Ocean, Air, Domestic Trucking, Rail, warehousing in any state in US"
242,"American Electric, Inc",,JOE  GONZALEZ,1999 Butler Loop Rd,Richland,WA,99354-4944,"We have an acronym we call “FAST” that has both a true and underlying meaning. Of course the underlying message to our customers is that we try to do things as quickly as possible. Whether that’s a quotation, price check, availability question, shipping or information request – we do it now – we know and understand that there are eager customers or potential customers waiting on us and their time is as valuable as ours. For more information visit our website at http://www.americanelectrical.com/"
243,"Armstead, Robert","Redmond Partners, Inc",Robert Armstead,16461 SE 34TH ST,BELLEVUE,WA,98008-5845,"Redmond Partners was established to provide expert business services to government, and industry that equip industry to grow their capacity and enable government to provide services related to their mission.   These services are in management consulting; program development and evaulation; construction management; facilities construction, alteration and maintenance; program and project management; technical publications; procurement of goods and services; and small business consulting. The managing partner of Redmond Partners has thirty years with depth of expertise in a range of business areas that enable the firm to contract in one service area or across a range of service areas.  This breadth of knowledge assures value-added perspectives for business owners and government agencies."
244,SOLECTRIC LLC,,Sareena J Presnell,810 200th St NE,ARLINGTON,WA,98223-5541,"Residential, commercial, industrial, solar, utility electrical work"
245,"Mobile Integration Workgroup, Inc.",MIW Consulting,Marcus 	 Williams,16700 NE 79th St Ste 100,Redmond,WA,98052-4465,Information Technology staff augmentation and consulting. Custom computer systems design and development.
246,"Womer And Associates, Inc. ",,Rick J Mathews,221 N Wall St Ste 600,Spokane,WA,99201-0826,"Architectural and engineering (civil, structural, mechanical, electrical); Planning. Construction administration. Fire Safety."
247,"Lorache CAD/IT Services, LLC ",Lorache CAD/IT Services ,BARRY  S COBB,11707 87th Ave S # AOFC,Seattle,WA,98178-4005,"General Contractor, Construction Management, Design/Build, Painting, Metal Stud Framing/Drywall, Finish Carpentry, Network Surviellance, Intrusion Detection systems,CCTV Design/Installation"
248,"Elite Performance And Learning Center, PS",,Joseph Trachtman,5008 Pullman Ave Ne,Seattle,WA,98105-2138,"We manufacture and distribute the Zone-TracⓇ AR (augmented reality) device. The device trains enhanced vision, concentration and relaxation and is based on NASA research."
249,"Claggion, Kamaru",Clagg's Private Investigative Agency,Kamaru R Claggion,2617 JUDD STREET SE,LACEY,WA,98503-3694,"My agency provides background investigations, criminal investigations, fraud investigations cyber investigations, and private security."
250,"G S & ASSOCIATES, INC.",Promotional Marketing,GLORIA SWAIN,515 S Farr Rd C107,Spokane Valley,WA,99206-6029,"Promotional products,emblems, badges,awards, shirts, tags, sports bottles, caps,tradeshow give-aways calendars, watches, lapel pins,portfolios,lanyards,mugs,glassware,embroidery, screenprint,"
251,Modern Grid Solutions LLC,,Subramanian Vadari,4577 W Lake Sammamish Pkwy NE,Redmond,WA,98052-5406,"Consulting/training to utilities/vendors setting business, technical and strategic direction for next-generation electric/energy systems. Key areas of focus are T&D System operations, wholesale/retail markets, T&D automation, and Power system analysis"
252,Green Water Energy LLC,,Erin Clemens,1397 Port Drive Clarkston,Clarkston,WA,99403-1806,"Prime Contractor with ability to self-perform numerous trades including mechanical, electrical, plumbing, and metals fabrication. • Metal fabrication of architectural components, including custom doors, hand rails & stairs. • Energy Retrofits & Renewables - LED Lighting, HVAC, Photovoltaics, EMCSs. • Mechanical prefabrication of piping, sheet metal, etc. • Design-Build, Design-Bid-Build and Design-Bid-Build with Construction Management"
253,"Advanced Government Services, Inc.",,ARTI OBRIEN,8644 Pacific Avenue,Tacoma,WA,98444-6471,"We provide Flagging, traffic control plan design, flaggers, signs, subcontractor, rental equipment, NHCRP 350 Crashworthy DOT signs and stands, TMA, Truck Mounted Attenuator, Transportable Attenuator."
254,"Childress Nursing Services, LLC",CNS Government Services,Quiana Childress,1015 Blaine Ave NE Unit A,Renton,WA,98056-8722,"CNS is focused on bringing a level of passion generally associated with works of art to all phases of our business partnerships while completing projects efficiently, safely, and within budget. By approaching each project with the mindset that there is no such thing as a small detail, all aspects of any project with which we are associated are taken into consideration to ensure project excellence and completion. As a WA state licensed medical testing site, we specialize in providing Covid-19 testing and health screening for businesses and government entities. Being uniquely licensed as a home health care, we can also provide point-of-care testing to clients in their homes and superior quality nurse staffing for government testing sites. Safety compliance. WOSB, EDWOSB, Minority-owned"
255,VIKEK ENVIRONMENTAL ENGINEERS LLC,,Victor O Okereke,23309 100TH AVE W,EDMONDS,WA,98020-5075,"We provide environmental and Management engineering Services focused on: Environmental and Facility Assessments, Solid Waste Management, Landfill Management, Solid Waste Recycling and Transfer Facility Operations Improvements, Stormwater Management Systems Design, Policy and Strategy Development and Deployment, Project Development and Implementation, Performance Metrics Development, Evaluation and Reporting, Executive and Decision Support, Training and Coaching."
256,"Integrity Nurse Consultants LLC, The",,LYLIA NICHOLS,17915 36th Ave E,TACOMA,WA,98446-1309,"Consulting, healthcare management, behavioral health, pediatric research, case management, patient advocacy, legal consulting"
257,ID 1 INC,,ANTHONY  L. Marchand,79 LONE RANCH CREEK ROAD,DANVILLE,WA,99121-9708,"id1, inc. is a full service specialty contractor and consulting firm specializing in hazard assessments and abatement, industrial hygiene, safety training, oversight and audits, and staff augmentation. Wine distributors."
258,GRAND MOVERS TRANSPORTATION COMPANY,,GRACE MUNYORI,2025 S 341ST PL,FEDERAL WAY,WA,98003-6861,
259,American Artificial Limb Co Inc,,DONN  OSHIRO,650 S ORCAS ST STE 100,SEATTLE,WA,98108-2654,Knee Ankle Foot Orthoses (KAFO)
260,"Cestusline, Inc.",,Kyong Choi,603 SE Victory Ave Bldg 46 Ste 100,Vancouver,WA,98661-8203,"W/O, Minority Owned, SDB. Variety of gloves designed for: Forestry, Mining, Construction, Refining, Impact Tools. With our patented designs and innovative materials we provide gloves that are hard-wearing, long lasting, and comfortable to wear all day."
261,"A & D Quality Construction Co., L.L.C.",,Annette B Demps,11412 148th Ave SE,Renton,WA,98059-4304,"General contractor specializing in demolition, excavation, clearing, grading, underground utilities, retaining walls, concrete, and tenant improvements."
262,TRUE NORTH PROTECTIVE SERVICES LLC,TNP,John V  Catterson,7302 13th Avenue Ct E Apt 55,Tacoma,WA,98404-5918,"As a service disabled Veteran owned company, we provide full spectrum security and comprehensive investigative services as well as related task orientated training"
263,"N.W. Construction General Contracting, Inc.",NW Construction,Darryl G Becker,22317 NE 72nd Ave,Battle Ground,WA,98604-4023,"NW Construction has 25 years experience in excavation, underground utilities, demolition, waterline embankment stabilization, emergency response, culvert installation and removal, grading, and earthwork."
264,"LIFT SOLUTIONS, INC.",,John castano,5225 138TH DR SE,SNOHOMISH,WA,98290-4646,"Provide sales, marketing, consulting, advertising and engineering services in the construction industry with an emphasis on elevator and escalators."
