name_of_firm,trade_name,category,owner,address,city,state,zip,description
Jabez-Absher Small Business Joint Venture ,,minority-owned,Mike Steinthal,13322 142nd Ave E.,Orting,WA,98360-9560,"Jabez Holdings, Inc. dba Jabez Construction/ST Fabrication, the JV Partner and Team Lead, has supplied fabricated structural and miscellaneous steel for over 40 years. As a small-business full-service general contractor, Jabez Construction provides pre-construction, GC/CM, renovation and/or new construction services for commercial, institutional, municipal, and DOD agency projects.  Absher Construction Company, the JV Partner and is a leading provider of general contracting (80 years), construction-management, and pre-construction services. Absher has a wealth of experience in Design-Build, Design-Bid-Build, and Design-Assist delivery methods. Absher’s DOD projects for the Army, Navy and the National Guard span almost 40 years. Jabez -Absher has a proven relationship as Subcontractor/Design-Builder on past projects for NAVFAC, USACE, and commercial clients. Our past experience together was the basis of forming and gaining SBA approval for our Mentor-Protégé Agreement."
"Rock Project Management Services, L.L.C.",Rock PM Services,minority-owned,Bernie ODonnell,1601 E Valley Rd Ste 110,Renton,WA,98057-3314,"We are a full-service program, project, and construction management small business, minority and woman owned serving public and private clients as Owner's Representatives. We providing scheduling, estimating and project controls services, property management and other project management-specific technical services."
Octanium Corporation,,minority-owned,Michael Harvey,6326 34th Ave SW Unit C,Seattle,WA,98126-3176,"CYBER SECURITY & INFORMATION ASSURANCE Octanium Corporation works with clients to resolve current and emerging cyber security challenges. We extensive years of experience in defining and formulating information security processes and procedures to help clients maintain a secure posture during and after the engagement. The company delivers creative solutions that help meet clients' budgets and tight deadlines. PROGRAM & PROJECT MANAGEMENT Octanium’s Program, Project and Process Management Group offers dedicated seasoned and trained professionals that bring their real-world experiences to the client's scenarios. The subject matter experts work with their clients, both offsite and onsite. NIST RISK MANAGEMENT FRAMEWORK (RMF) Certified expert Security Control Assessment and Validation services to achieve Authorization to Operate for any size system in accordance with NIST RMF. We help transition from DIACAP to RMF and provide security engineering to stay compliant and secure."
JRA SOLUTIONS LLC,,minority-owned,Ray Atwood,9418 N K CT,SPOKANE,WA,99208-4330,"We offer program management, project management, staffing and professional services. We also offer comprehensive business development services including marketing (traditional and online), capture management, estimating, M&A, grant writing, teaming arrangements and joint venture arrangements."
"Lin & Associates, Inc.",,minority-owned,ADOLPH  FURTADO,901 Fifth Ave Ste 2710,Seattle,WA,98164-2051,"Land Surveying; Structural Engineering, specializing in roads, bridges, retaining walls, tunnels, etc.; Construction Management services also provided."
"Western Safety Products, Inc.",,minority-owned,Neil RADHEHSWAR,505 S Lander St,Seattle,WA,98134-1921,"SELLING PROTECTIVE CLOTHING, GLOVES, FIRST AID KITS, AIR PURIFYING RESPIRATORS, CARTRIDGES, WELDING SUPPLY, ABSORBENTS, FALL PROTECTION, HEAD PROTECTION, HEARING PROTECTION, EYE & FACE PROTECTION, EYE PROTECTION, SAFETY STORAGE, SIGNS & LABELS."
Infinity Global Xpress LLC,IGX,minority-owned,Hardeep Singh,4504 E Valley Hwy E,Sumner,WA,98390-9506,"We are Freight Forwarder and freight broker. We can handle all your freigth needs from Ocean, Air, Domestic Trucking, Rail, warehousing in any state in US"
"American Electric, Inc",,minority-owned,JOE  GONZALEZ,1999 Butler Loop Rd,Richland,WA,99354-4944,"We have an acronym we call “FAST” that has both a true and underlying meaning. Of course the underlying message to our customers is that we try to do things as quickly as possible. Whether that’s a quotation, price check, availability question, shipping or information request – we do it now – we know and understand that there are eager customers or potential customers waiting on us and their time is as valuable as ours. For more information visit our website at http://www.americanelectrical.com/"
"Armstead, Robert","Redmond Partners, Inc",minority-owned,Robert Armstead,16461 SE 34TH ST,BELLEVUE,WA,98008-5845,"Redmond Partners was established to provide expert business services to government, and industry that equip industry to grow their capacity and enable government to provide services related to their mission.   These services are in management consulting; program development and evaulation; construction management; facilities construction, alteration and maintenance; program and project management; technical publications; procurement of goods and services; and small business consulting. The managing partner of Redmond Partners has thirty years with depth of expertise in a range of business areas that enable the firm to contract in one service area or across a range of service areas.  This breadth of knowledge assures value-added perspectives for business owners and government agencies."
SOLECTRIC LLC,,minority-owned,Sareena J Presnell,810 200th St NE,ARLINGTON,WA,98223-5541,"Residential, commercial, industrial, solar, utility electrical work"
"Mobile Integration Workgroup, Inc.",MIW Consulting,minority-owned,Marcus 	 Williams,16700 NE 79th St Ste 100,Redmond,WA,98052-4465,Information Technology staff augmentation and consulting. Custom computer systems design and development.
"Womer And Associates, Inc. ",,minority-owned,Rick J Mathews,221 N Wall St Ste 600,Spokane,WA,99201-0826,"Architectural and engineering (civil, structural, mechanical, electrical); Planning. Construction administration. Fire Safety."
"Lorache CAD/IT Services, LLC ",Lorache CAD/IT Services ,minority-owned,BARRY  S COBB,11707 87th Ave S # AOFC,Seattle,WA,98178-4005,"General Contractor, Construction Management, Design/Build, Painting, Metal Stud Framing/Drywall, Finish Carpentry, Network Surviellance, Intrusion Detection systems,CCTV Design/Installation"
"Elite Performance And Learning Center, PS",,minority-owned,Joseph Trachtman,5008 Pullman Ave Ne,Seattle,WA,98105-2138,"We manufacture and distribute the Zone-TracⓇ AR (augmented reality) device. The device trains enhanced vision, concentration and relaxation and is based on NASA research."
"Claggion, Kamaru",Clagg's Private Investigative Agency,minority-owned,Kamaru R Claggion,2617 JUDD STREET SE,LACEY,WA,98503-3694,"My agency provides background investigations, criminal investigations, fraud investigations cyber investigations, and private security."
"G S & ASSOCIATES, INC.",Promotional Marketing,minority-owned,GLORIA SWAIN,515 S Farr Rd C107,Spokane Valley,WA,99206-6029,"Promotional products,emblems, badges,awards, shirts, tags, sports bottles, caps,tradeshow give-aways calendars, watches, lapel pins,portfolios,lanyards,mugs,glassware,embroidery, screenprint,"
Modern Grid Solutions LLC,,minority-owned,Subramanian Vadari,4577 W Lake Sammamish Pkwy NE,Redmond,WA,98052-5406,"Consulting/training to utilities/vendors setting business, technical and strategic direction for next-generation electric/energy systems. Key areas of focus are T&D System operations, wholesale/retail markets, T&D automation, and Power system analysis"
Green Water Energy LLC,,minority-owned,Erin Clemens,1397 Port Drive Clarkston,Clarkston,WA,99403-1806,"Prime Contractor with ability to self-perform numerous trades including mechanical, electrical, plumbing, and metals fabrication. • Metal fabrication of architectural components, including custom doors, hand rails & stairs. • Energy Retrofits & Renewables - LED Lighting, HVAC, Photovoltaics, EMCSs. • Mechanical prefabrication of piping, sheet metal, etc. • Design-Build, Design-Bid-Build and Design-Bid-Build with Construction Management"
"Advanced Government Services, Inc.",,minority-owned,ARTI OBRIEN,8644 Pacific Avenue,Tacoma,WA,98444-6471,"We provide Flagging, traffic control plan design, flaggers, signs, subcontractor, rental equipment, NHCRP 350 Crashworthy DOT signs and stands, TMA, Truck Mounted Attenuator, Transportable Attenuator."
"Childress Nursing Services, LLC",CNS Government Services,minority-owned,Quiana Childress,1015 Blaine Ave NE Unit A,Renton,WA,98056-8722,"CNS is focused on bringing a level of passion generally associated with works of art to all phases of our business partnerships while completing projects efficiently, safely, and within budget. By approaching each project with the mindset that there is no such thing as a small detail, all aspects of any project with which we are associated are taken into consideration to ensure project excellence and completion. As a WA state licensed medical testing site, we specialize in providing Covid-19 testing and health screening for businesses and government entities. Being uniquely licensed as a home health care, we can also provide point-of-care testing to clients in their homes and superior quality nurse staffing for government testing sites. Safety compliance. WOSB, EDWOSB, Minority-owned"
VIKEK ENVIRONMENTAL ENGINEERS LLC,,minority-owned,Victor O Okereke,23309 100TH AVE W,EDMONDS,WA,98020-5075,"We provide environmental and Management engineering Services focused on: Environmental and Facility Assessments, Solid Waste Management, Landfill Management, Solid Waste Recycling and Transfer Facility Operations Improvements, Stormwater Management Systems Design, Policy and Strategy Development and Deployment, Project Development and Implementation, Performance Metrics Development, Evaluation and Reporting, Executive and Decision Support, Training and Coaching."
"Integrity Nurse Consultants LLC, The",,minority-owned,LYLIA NICHOLS,17915 36th Ave E,TACOMA,WA,98446-1309,"Consulting, healthcare management, behavioral health, pediatric research, case management, patient advocacy, legal consulting"
ID 1 INC,,minority-owned,ANTHONY  L. Marchand,79 LONE RANCH CREEK ROAD,DANVILLE,WA,99121-9708,"id1, inc. is a full service specialty contractor and consulting firm specializing in hazard assessments and abatement, industrial hygiene, safety training, oversight and audits, and staff augmentation. Wine distributors."
GRAND MOVERS TRANSPORTATION COMPANY,,minority-owned,GRACE MUNYORI,2025 S 341ST PL,FEDERAL WAY,WA,98003-6861,
American Artificial Limb Co Inc,,minority-owned,DONN  OSHIRO,650 S ORCAS ST STE 100,SEATTLE,WA,98108-2654,Knee Ankle Foot Orthoses (KAFO)
"Cestusline, Inc.",,minority-owned,Kyong Choi,603 SE Victory Ave Bldg 46 Ste 100,Vancouver,WA,98661-8203,"W/O, Minority Owned, SDB. Variety of gloves designed for: Forestry, Mining, Construction, Refining, Impact Tools. With our patented designs and innovative materials we provide gloves that are hard-wearing, long lasting, and comfortable to wear all day."
"A & D Quality Construction Co., L.L.C.",,minority-owned,Annette B Demps,11412 148th Ave SE,Renton,WA,98059-4304,"General contractor specializing in demolition, excavation, clearing, grading, underground utilities, retaining walls, concrete, and tenant improvements."
TRUE NORTH PROTECTIVE SERVICES LLC,TNP,minority-owned,John V  Catterson,7302 13th Avenue Ct E Apt 55,Tacoma,WA,98404-5918,"As a service disabled Veteran owned company, we provide full spectrum security and comprehensive investigative services as well as related task orientated training"
"N.W. Construction General Contracting, Inc.",NW Construction,minority-owned,Darryl G Becker,22317 NE 72nd Ave,Battle Ground,WA,98604-4023,"NW Construction has 25 years experience in excavation, underground utilities, demolition, waterline embankment stabilization, emergency response, culvert installation and removal, grading, and earthwork."
"LIFT SOLUTIONS, INC.",,minority-owned,John castano,5225 138TH DR SE,SNOHOMISH,WA,98290-4646,"Provide sales, marketing, consulting, advertising and engineering services in the construction industry with an emphasis on elevator and escalators."
"Perez Move Management, Inc.",,minority-owned,Bob Perez,410 Valley Ave NW Suite C102,Puyallup,WA,98371-3317,"Perez Move Management, Inc. is located in Auburn, WA, a Greater Seattle/Tacoma area suburb. With competitive pricing for our broad variety of transportation modes, PMM offers trucking service for HHG and FAK freight of both FTL and LTL domestic & international shipments, warehouse & distribution service, office & industrial installation, domestic & international airfreight, and surface, ocean or air transportation to and from all points in Alaska. For more information, please visit our website at http://www.perezmm.com."
FOX'S GROUNDS & BUILDING MAINTENANCE LLC.,,minority-owned,Joedy Smith,23110 30TH AVE S #A-202,DES MOINES,WA,98198-7287,"Preparation of residential, commercial and government property for occupancy. Commercial and residential janitorial and custodial services. Foreclosure and eviction trash outs. Interior and exterior pre construction and post construction cleanup and maid service, pressure washing, dump runs, litter pickup, garbage hauling. General contractor construction services to include sink fixtures, light fixtures, rebuild toilets, install garbage disposals, install doors and door hardware, drywall repair, painting, face cabinetry doors, install cabinetry, renovation work, smoke alarms, appliance exchanges."
Huayruro LLC,,minority-owned,Jabali Stewart,518 NE 88th St,Seattle,WA,98115-2937,"Huayruro is a team of individuals capable of dealing with the human factor in any business, school, or home. We utilize a variety of social technologies to enable healthier relationships, bond teams, develop leaders, and heal damaged culture."
"Derian-OCC II, JV",,minority-owned,Mark Jensen,12735 Willows Rd NE,Kirkland,WA,98034-8717,"Derian-OCC II, JV is a prime contractors having joint ventured since 2004 continuously. The JV constructs industrial buildings, industrial plants, military housing, radar/communication towers, bridges, marine facilities."
Olympic Commercial Cleaning LLC,,minority-owned,Clementine  Brewer,17538 12th Ave NE #B307,Shoreline,WA,98155-3776,"At Olympic Commercial Cleaning we provide more than just janitorial services. We solve one of the most frustrating and time-consuming tasks for our clients so they can focus on creating and running businesses and organizations that feed their passions. We are skilled and trained in all aspects of janitorial servicing, so our focus is providing consistently superior work to our clients. Whether it’s a modest office a large building or a residential complex with multi-units, our janitorial services are tailored to be cost-effective and beneficial for the client and to the space. Our services include but are not limited to Deep Cleanings for Post Construction or Remodeling Projects, Business Launches and Recurring Janitorial Services."
"NBM Corporation of Washington, Inc ",NBM ,minority-owned,Ronald Collins,3225 Mission Beach Rd,Tulalip,WA,98271-9736,
Custom Prosthetic Ltd,,minority-owned,Sharon Haggerty,705 OPERA ALLEY STE K,TACOMA,WA,98402-3732,"Providing state of the art custom prosthetic restorations of the face and body. We specialize in auricular (ear), nasal, orbital, digital (finger), custom protective athletic face masks,breast and nipple, partial hand and toe/partial foot prostheses.  All phases of treatment are provided including consultation, treatment planning, fabrication and fitting, for adults and children with simple or complex facial and body conditions or tissue loss due to cancer, burns, trauma and congenital anomalies. 16+ years of experience with facial bone-anchored implant-retained prostheses."
MAQ LLC,MAQ SOFTWARE,minority-owned,Maria Walker,15446 BEL RED RD STE 101,REDMOND,WA,98052-5507,"MAQ Software is a software consulting company that specializes in developing web-based business applications, XML and .NET Web Services, and data warehousing and business intelligence solutions."
Kaeka Group,,minority-owned,DAVID KAEKA,4338 Clearwater Loop SE,Lacey,WA,98503-4437,"Kaeka Group Inc. is a Veteran owned Native Hawaiian Small Business. We are innovators in the security field who provide proactive solutions. We are specialists in the Security field providing executive protection and physical security.  We operate rigidly so as to maintain order at all times and to have the highest level of discipline and skill in what we do. We have an in-depth elimination process and a standard which must be met to ensure the completion of the mission. This is our foundation for success.  To achieve this level of success we have instituted a rigid training program to address core competencies and lessons learned. Our training philosophy is to pass on as much knowledge as possible to guide us to a successful mission. Integrating strong management teams to ensure contract compliance, customer satisfaction and world class quality will drive our success in quality control."
"Cougar Den, Inc",,minority-owned,Kyle Curtis,620 Signal Peak Rd,White Swan,WA,98952-0000,"Cougar Den, Inc. is a licensed Yakama Nation Business and has over 40 years of knowledge and experience in tribal business. We are a full -service petroleum and propane distributor. We handle the logistics of the entire fuel operation, so you do not have to worry about the day-to-day ordering of fuel. We have an outstanding staff of over 30 plus employees with 16 of those dedicated to our fuel operations."
Silk Road Environmental LLC,Silk Road Solar,minority-owned,Raymond LAM,1200 KRESKY AVE,CENTRALIA,WA,98531-3734,Environmental Studies Sustainability Studies Grant Writing Permitting
"DOCKSIDE MARINE SYSTEMS, INC.",,minority-owned,Thomas McDaniel,27642 128TH PL SE,KENT,WA,98030-8885,"Full Service Ship Repair Sandblasting,Non Skid,Tenting,Welding,Electrical"
"West Coast Custom Metal Design, Inc",,minority-owned,Oneil Martin,3950 HAMMER DR STE 104,BELLINGHAM,WA,98226-7776,Metal fabrication of industrial and commercial products. Custom metal products and metal products fabricated to customer specifications.
"INDELIBLE SYSTEMS, INC.",,minority-owned,Sairam Suresh,4247 135th Pl SE,Bellevue,WA,98006-1319,
HOYDAR BUCK INC,,minority-owned,BARBARA  K GRAY,210 W ORCHARD AVE,SELAH,WA,98942-1332,"ELECTRICAL INSTALLATION; PROVIDE ELECTRICAL MATERIALS; PROVIDE UL LISTED INDUSTRIAL CONTROL PANELS; PROVIDE ELECTRICAL INSPECTIONS AND ELECTRICAL SAFETY CONSULTATIONS; PROVIDE LOW VOLTAGE WIRING, HVAC WIRING, CONTROLS."
KIRA Range Services LLC,,minority-owned,Richard Rinehart,4208 198th St Sw Ste 104,LYNNWOOD,WA,98036-6736,"KIRA Range Services provides top notch facilities maintenance services at the best prices. KIRA is an experienced provider to the United States Government, and can provide the management, labor and support to meet a wide variety of requirements in the United States or abroad."
PERFECT IMAGE INC,,minority-owned,ERIC  FLEMING,13615 NE 126TH PLACE STE 450,KIRKLAND,WA,98034-8730,One of the largest scanning and data conversion companies in the United States. Perfect Image provides high quality deliverables at a reasonable price while maintaining project confidentiality. Company converts manual drawings into electronic formats.
"Keu, Inc.",,minority-owned,Todd Kasma,201 NE 135th St,Vancouver,WA,98685-2814,"KEU, Inc. is a woman-owned SBA 8(a)-certified heavy civil construction company, with offices in Stanley, ND and Vancouver, WA. KEU has completed multiple projects across the United States with an emphasis on site-development, demolition and utilities."
"INDIAN EYES, LLC",,minority-owned,Roxie  Schescke,2815 SAINT ANDREWS LOOP STE B,PASCO,WA,99301-9585,"Construction, environmental management & engineering firm, includes environmental remediation/compliance, waste management, design-build, D&D, H&S, asbestos/lead abatement. Equipment Logistics & staffing. Meet stringent requirements of Government Projects"
Allofor Inc.,,minority-owned,Parveen Kumar,1546 NW 56th St. #537,Seattle,WA,98107-5209,Internal Medicine Physicians services Biotechnology and medical research inclination. Global travel experience makes us more oriented for global projects as well.
"One & Done, Inc",,minority-owned,Michelle Wieman,106 Goldenrod St,Port Orchard,WA,98366-1939,
Integrated Design Engineers LLC ,,minority-owned,IGNASIUS  SEILIE,"1200 Fifth Avenue, Suite 1208",Seattle,WA,98101-3115,"Structural engineering firm specializing in design of building structures. Expertise includes design of administrative and training buildings, aviation and airfield facility structures, hangars and maintenance shops, residential structures, commercial structures, seismic assessment and upgrade, plan assessment, value engineering, tenant improvements, renovation and new construction, steel design, concrete design, and analysis of communications towers. 12 years in business and SBA 8(a) certified. Licensed in 20 states."
TRES WEST ENGINEERS INC,,minority-owned,David M Moore,2702 S 42ND ST # 301,TACOMA,WA,98409-7324,"Engineering design services: electrical, mechanical, plumbing, industrial, heating, and communications/technology. Systems assessment and analysis, HVAC, hydronic, compressed natural gas, control systems, data center, ventilation, humidity, fire protection, transit, fire alarm, power distribution, lighting, harmonics, selective coordination, VOIP, A/V, LAN, network integration, CCTV, access control, DAS systems. Energy efficiency inspection services. Sustainable green LEED certified. Drafting services. Staff of 24 persons."
"Valdez Construction, Inc.",,minority-owned,RYAN  Valdez,499 NE Midway Blvd Ste 2,Oak Harbor,WA,98277-2615,"General Contractor - Industrial building construction, site preparation, excavation, grading, demolition, underground utilities, asphalt, concrete. Septic system design/installation"
MILLENNIA HEALTHCARE INC.,,minority-owned,LARRY O UDE,21400 INTERNATIONAL BLVD STE 205,SEATAC,WA,98198-6086,"Millennia is a Washington State Home Care Company in business since 1999 committed to helping our clients enhance their quality of life through our care services. Our non-medical services include, assistance with personal care, dressing, bathing, toileting, and medication reminders."
"Blue Trident, LLC",,minority-owned,EMMANUEL  T BAUTISTA,7829 NE Esperione LN,Bainbridge Island,WA,98110-2650,"8(a), SDVOSB general contractor and professional engineering company with over 27 years of experience offering preconstruction, construction, CM, design-build, and engineering services for various commercial projects to federal, state and private clients."
"TARIM CONSULTING, LLC",,minority-owned,Max Ablimit,5123 NE 94TH AVE STE C,VANCOUVER,WA,98662-6181,"Tarim works with Oracle end users to mitigate their Oracle risks, minimize Oracle Total Cost of Ownership, obtain an effective Oracle licensing strategy, optimize their Unlimited License Agreements, and maximize the return on their Oracle investment."
RETAIN IT LLC,,minority-owned,ASHLEIGH M VANEK,1290 S 44th Ave,Ridgefield,WA,98642-7622,
CETS LLC,,minority-owned,Thomas Jordan,1441 N Northlake Way Ste 211,Seattle,WA,98103-8989,"CETS LLC is a Design/Build Electrical Manufacturer of UL Listed Power Distribution & Control Equipment Cabinets. CETS focuses on heavy industrial automation, manufacturing, & process control as applicable to facilities that create durable goods & food process facilities. CETS also provides services for ocean going vessels in the fishing & Shipping Industries & is an Industrial Electrical Contracting firm specializing in Control, Instrumentation & Power Generation paying close attention to detail & professionalism."
"OMA CONSTRUCTION, INC.",,minority-owned,BARRY OYOUNG,2356 15TH AVE S APT 105,SEATTLE,WA,98144-0000,General Contractor
"Ramirez Reforestation, Inc",,minority-owned,TOMAS  RAMIREZ,4739 181st Ln SW,Rochester,WA,98579-9456,"Reforestation- Tree Planting, Tree Thinning, Tree Prunning, Pile Burning, Road Brushing, Slashing, Spraying, ETC."
"HIGHGATE CONTRACTING AND CONSULTING AGENCY, LLC",Highgate Contracting and Consulting Agency,minority-owned,Lloyd D Wint Jr,2501 East D Street,Tacoma,WA,98421-1338,"Highgate Contracting and Consulting Agency, LLC is a socially and environmentally responsible Service-Disabled, Veteran and Minority-Owned Small Business that offers professional security consulting services, intelligence and operational support, talent management, organizational training and development, change management and wholesale goods to public and private sector entities.  Highgate's Subject Matter Experts possesses over two decades of United States Military experience, expertise and extensive qualifications relating to Special Forces, Ranger, Light Infantry, Intelligence, Operations, Advance Special Operations, and Surveillance Tactics Techniques and Procedures (TTPs). Our staff has over eight years of experience providing comprehensive security and training support services to the private sector and numerous government contracting companies. Highgate's goal is to provide value added professional services which exceeds customer satisfaction and expectations."
"Marine Vacuum Service, Inc.",Marvac,minority-owned,TOM  MYLER,1516 S Graham St,Seattle,WA,98108-2820,"24Hr Emrgncy Spill Respnse,Enviro Svcs,Hazardous Waste Transp,Fuel Trnsfr,Tank&Bilge Cleaning,Oil Process,Sludge Process,UST Removal&Install, Demolition&Site Restoration, ,Hwy Easement Cearing,.Environmental Construction, Fish Habitat improvements,"
"BURTON CONSTRUCTION, INC.",,minority-owned,JERRY  BURTON,3915 E NEBRASKA AVE,SPOKANE,WA,99217-6641,"SBA Region 10 Prime Contractor of the Year 2000, Rising Star Award 2003 & 2004. Renovation, new construction,bridges,security,concrete,carpentry, painting, masonry,roofing, demolition, excavation,utility work,lead paint abatement,mechanical,& electrical."
"Kauffman & Associates, Inc.",,minority-owned,JOANN KAUFFMAN,S 165 Howard St,Spokane,WA,99201-4444,"KAI delivers innovative solutions for federal agencies, tribal and local governments, and private organizations. We take the time to understand the culture of each organization we serve. At KAI, we provide high-quality research and evaluation, training and technical assistance, communications, meeting and event planning, and organizational transformation services. Including Strategic Planning & Facilitation; Logistical Support for Conferences and Meetings; Cultural resources; Government Policy Analysis."
"WHITE SHIELD, INC.",,minority-owned,Stuart W Fricke,320 N 20TH AVE,PASCO,WA,99301-4963,"ENVIRONMENTAL: SITE ASSESSMENTS, PHASE 1 ESA, HAZARDOUS WASTE, REMEDIATION, PERMITTING, LEAD BASED PAINT, ASBESTOS SURVEY: BOUNDARY, CADASTRAL, GIS, LIDAR, RIGHT OF WAY, GIS, CONSTRUCTION, AERIAL, ALTA CONSTRUCTION MANAGEMENT: INSPECTION, MONITORING"
PROGRESSIVE MACHINE INC,,minority-owned,Joseph Alvarez,318 E B CIR,PASCO,WA,99301-6402,WE ARE A JOB SHOP MACHINE SHOP. WE OFFER FULL SERVICE MACHINING AND WELDING SERVICES.
"MARSHBANK CONSTRUCTION,INC.",,minority-owned,DAVE C MARSHBANK,3304 OLD HARTFORD RD,LAKE STEVENS,WA,98258-8699,"GENERAL CONTRACTOR: HIGHWAY, STREET, & RUNWAY CONSTRUCTION, SURFACING, AND REPAIR; UTILITIES, IRRIGATION, DRAINAGE, RETENTION SYSTEM, WATER AND SEWER MAIN/LINE, PUMPING OR LIFT STATION, AND STORM SEWER CONSTRUCTION; DUMP TRUCKING"
"Excel Gloves & Safety Supplies, Inc.",Excel Supply Company,minority-owned,IRENE  REYES,2001 48th Ave Court E # A,Fife,WA,98424-3437,"22 Years of Contracts with State & Local Govt. 25 Years In Business (Since 1993) 10 + Years of Federal Government Contracts Woman-Minority Owned Hub-zone, WOSB, EDWOSB DBE, Small Disadvantaged Business Family-run business Headquarters in Fife, WA  Extensive Experience in Supply Chain Solutions and Optimization Prompt and Flexible Logistics Management Excellent Contract Performance, Management and Implementation Provides Highest Quality Products, Exceeds OSHA & ASTM Standards Stringent Manufacturer/Vendor Selection ISO Certified and Accredited Manufacturers Open and scalable technology and website Safety and Health is Never Compromised Largest Single PO Performed $160,000 Largest Annual Contract Performed $1,100,000 DUNS:928913409 CAGE CODE: 1KQW8 Socio Economic Status and Certifications: HUB-Zone, SDB, MWBE, WOSB, DBE & EDWOSB GSA Schedule Contracts: Schedule 84 #GS07F9190S Schedule 65 #V797P4270B"
Chandler Solutions LLC,,minority-owned,Christopher Chandler,2617 39th Ave W,Seattle,WA,98199-3109,We are a SDVOSB operating in the greater Seattle area offering cost effective solutions to security guard and patrol services as well as facilities management services. Armed and unarmed professionals available to meet all client requirements.
SIMONTIC COMPOSITE INC.,,minority-owned,SIMON SENIBI,25411 155TH AVE SE,KENT,WA,98042-4122,"Our specialty is in the area of Innovative Composite Design, analysis, testing, manufacturing and sales for Aerospace, Automotive, Land Transportation, Construction/Infrastructures, Marine Applications, Ballistic Protection, and Biomedical Applications. Green composite and clean energy technologies."
"B.R. MANAGEMENT SERVICES, INC.",,minority-owned,ROBERT G RETTIG,2187 HAMMOND AVE,DUPONT,WA,98327-9771,"postal service, landscaping service, custodial service, and food service contractor, security guard"
"Aaversal Global Relocation, LLC",Aaversal Global Logistics,minority-owned,Hosea L Bottley,614 Harrison St Ste B,Sumner,WA,98390-1131,"Aaversal Global Relocations is a Certified MBE/DBE and Disabled Veteran owned Company. Licensed and bonded with over 23 years of Government and Corporate international relocation experience. We are recognized as a highly acclaimed leader in International relocations and freight forwarding. Having no franchise restrictions, the Aaversal team works with over 250 highly experienced agents worldwide, Resulting in a compliment of talent that redefines the meaning of customer service. Aaversal is highly experienced in the art of shipping, packing and logistics of household goods and autos via air, land and sea. Our well established relationships with a diverse selection of shipping lines allows us to provide a global carrier portfolio to facilitate flexible scheduling to meet individual shipping requirements. Aaversal understands the complexity of relocating overseas and want to ensure the client understand and well informed with the process of an international relocation."
"SBC GLOBAL CONSULTING, LLC",,minority-owned,Sterling K Carter,12905 NE 56TH ST,VANCOUVER,WA,98682-2288,"SBC Global Consulting, LLC helps organizations maximize productivity by reducing waste, driving cost effectiveness, and building lasting relationships between stakeholders. We are a domestic company with global perspectives."
"Sealaska Remediation Solutions, LLC",SRS,minority-owned,Terrence Heikkila,1200 6th Ave Ste 800,Seattle,WA,98101-3113,"Sealaska Remediation Solutions was 8(a) certified on February 7, 2019. We are a full service environmental consultant that specializes in environmental site assessment; environmental planning, permitting and reporting; regulatory compliance; remedial investigation; environmental engineering and remediation system design; groundwater, soil, surface water and sediment remediation; in situ groundwater investigation and remediation; remediation system operation, maintenance and optimization; and long-term monitoring and remedy assessment."
KIRA Administrative Services LLC,,minority-owned,Richard Rinehart,4208 198th St Sw Ste 104,Lynnwood,WA,98036-6736,KIRA Administrative Services provides office services and personnel and professional development training to the US DOD.
THOMPSON ELECTRICAL CONSTRUCTORS INC,,minority-owned,Sonia R Billingsley,150 100TH ST S,TACOMA,WA,98444-6513,"Services: Government Agencies, JBLM, PSNS, Bangor, Ballard Locks, VA, Army Reserve Center Pier 23, FAA, KCHA; local agencies: University Place, Pierce County, City of Tacoma, School Districts, Medical Facilities, Franciscan Medical Campuses, Western State Hospital,Utility Work: Communication sites, Road Construction projects such as street lighting, traffic signals, solar school zone flashing beacons, solar crosswalks and traffic loops, Low Volt: Fiber Optic Cabling, Data, Communications"
Sustainable Floors Inc.,Sustainable Interiors,minority-owned,Dana  G Pittman,5009 Pacific Hwy E Ste 7,Fife,WA,98424-3431,"We provide flooring like carpet, vinyl, hardwood, refinishing, rubber, LVP, tile, stair treads, etc certified payrolls, ARRA, LEED, etc"
CONTINUUM OFFICE ENVIRONMENTS LLC,,minority-owned,Israel  Guerrero,720 N FANCHER ROAD,SPOKANE VALLEY,WA,99212-1053,"Continuum Office Environments, LLC offers customers a diverse package of industry-leading, manufactures and can meet the broadest expectations for any environment. With years of design expertise, we look forward to creating a vibrant space for your agency or company. We are dedicated to customer satisfaction, from purchase to install and are committed to industry-leading performance. In our evolving healthcare environments, partnership with an experienced and knowledgeable firm is essential. Continuum Office Environments, LLC exceeds patient, family and caregiver expectations in any healthcare space. Continuum Office Environments, LLC has worked with many regional schools, creating showcase learning environments. We specialize in contract sales and support educational contracts for every school."
"SITE ENVIRONMENTAL, LLC",,minority-owned,Michael J Williams,1744 S DAWSON ST,SEATTLE,WA,98108-2363,"Site Environmental, LLC is a Phase 1 Environmental Site Assessment (ESA) consulting company. We provide our service for real estate property transactions and exchanges to multiple related sectors. The Phase 1ESA is also what is referred to in the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) as all appropriate inquiries (AAI). AAI is a process of evaluating a property’s environmental conditions and assessing potential liability for any contamination. AAI is due diligence that must be conducted by the potential new property owner to obtain certain protections from liability under CERCLA. The ASTM E1527-13 Standard Practice for Environmental Site Assessments: Phase I Environmental Site Assessment Process is consistent with the requirements of CERCLA. ASTM E1527-13 is the standard used by Site Environment for our practice."
